Compound,ar_mean,ar_stdv,rr_mean,rr_stdv
Abacavir_AS,45.6,5.2,117.4,15.8
Abacavir_BF,16.2,20.8,111.8,18.9
Acemetacin_AS,19.4,3.3,89.4,22.1
Acemetacin_BF,17.2,3,74.1,17
Amisulprid_AS,41.6,7.8,111.9,14.1
Amisulprid_BF,42.9,7.9,124.4,18.3
Amlodipine_AS,18.8,3.5,107.4,16.1
Amlodipine_BF,1.2,1.3,16.6,24.9
Apixaban_AS,43,7.4,108.2,16
Apixaban_BF,47.1,11.3,123.2,14.6
Apremilast_AS,61.3,34.4,124.9,1.5
Apremilast_BF,70.9,11.1,128.2,24.5
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_AS,8.8,0.8,88.5,28.1
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_BF,5.1,2.8,38.2,18.6
Bisacodyl_AS,1.5,1.6,15.4,27.7
Bisacodyl_BF,28.1,8.7,144.2,28
Bupropion_AS,13,1.7,142.6,25.2
Bupropion_BF,3.3,1.7,136.2,27.4
Clomipramine_AS,17.1,4.7,125.3,26
Clomipramine_BF,0.6,1.3,52.8,22.5
Codein_AS,46.4,6.5,112.7,16.2
Codein_BF,32.7,11.1,112.8,9.9
Darunavir_AS,32.6,5.5,103.2,6.9
Darunavir_BF,4.4,7.5,62.4,20.4
Dexlansoprazole_AS,52.4,7.6,109.1,10.2
Dexlansoprazole_BF,38.1,4.6,92.5,3.2
Dextromethorphan_AS,34.2,10.2,130.8,31.8
Dextromethorphan_BF,11.1,2.5,88.6,20.2
Diltiazem_AS,43.9,7.3,121,17.8
Diltiazem_BF,21.8,5.5,93.5,20.5
Diosmin_AS,19.1,22.5,66.4,412
Diosmin_BF,2.7,5.8,114.3,32.4
Edoxaban_AS,50.7,3.3,110.2,11.2
Edoxaban_BF,44.2,6.3,106.9,3.9
Elvitegravir_AS,9.7,6.6,194,93.3
Elvitegravir_BF,7.8,11.4,57.6,28.9
Entacapone_AS,11.4,2.8,99.2,23.6
Entacapone_BF,5.3,0.9,89.5,10.1
Enzalutamide_AS,26.1,3.1,123.8,14.8
Enzalutamide_BF,24.1,4,87,19.4
Febuxostat_AS,26.9,2.2,107.3,15.9
Febuxostat_BF,19.3,4.8,71.7,14.6
Fenfluramine_AS,37.4,9.2,117.7,12.7
Fenfluramine_BF,29,4.1,105.7,7.9
Gliclazide_AS,42.7,6,96.9,8.1
Gliclazide_BF,-6.7,12.5,69.3,13
Icaridin_AS,31.7,7.3,121.4,12.2
Icaridin_BF,30.3,4.4,94.9,9.8
Ifosfamid_AS,35.4,4.2,113.8,14.1
Ifosfamid_BF,41,5.1,119.6,16
Isoproturon_AS,31.3,9.4,118.9,11.6
Isoproturon_BF,31.3,8.1,121.4,25
Levamisol_AS,36,14,138,6
Levamisol_BF,26.2,12.7,117.9,20.6
Lisinopril_AS,0,0,0,0
Lisinopril_BF,0,0,0,0
Metoclopramid_AS,37.5,8.8,125.3,10.7
Metoclopramid_BF,26.6,13,142,15.6
Mexiletine_AS,37.9,5.8,112.2,12.3
Mexiletine_BF,29.2,6.3,87.5,17.5
Mirabegron_AS,58.6,17.4,92.1,7.5
Mirabegron_BF,23.5,4.5,79.1,13.8
Moclobemid_AS,48.5,4.8,113.8,6
Moclobemid_BF,40.7,9.1,111.5,14.5
Monuron_AS,34.3,7.9,107,14.7
Monuron_BF,33.6,5.7,113.9,12.8
Mycophenolsaeure_AS,20.3,2.5,103.9,7.6
Mycophenolsaeure_BF,16.5,5.2,119.1,22.5
Naloxone_AS,59.1,7.7,134.2,19.7
Naloxone_BF,52.1,8.5,118.3,11.8
Neohesperidin dihydrochalcon_AS,36,9.6,106,10.6
Neohesperidin dihydrochalcon_BF,22.7,5.3,100,17
Olmesartan_AS,53.5,19.1,96.1,19.7
Olmesartan_BF,25,5.1,92.1,11.7
Pirfenidone_AS,45.1,11.8,105.4,11.8
Pirfenidone_BF,42.7,4.2,106.3,15.5
Pravastatin_AS,21.8,6.2,77.1,15.4
Pravastatin_BF,14.1,11.7,114.5,22.3
Primidon_AS,30.7,6.5,124.6,13.7
Primidon_BF,36.4,4.2,108,12.7
Propranolol_AS,41.4,6.7,125.7,10.6
Propranolol_BF,24.1,5.6,107.4,15.2
Pseudoephedrine_AS,31.1,14.5,135.7,12.2
Pseudoephedrine_BF,26.5,5.8,102,9.3
Rivaroxaban_AS,36.4,1.8,106.8,16.5
Rivaroxaban_BF,37.4,6.6,104.7,10.6
Sacubitril_AS,35.2,5.1,104.7,10.4
Sacubitril_BF,33.1,5.2,104.5,11.4
Sertraline_AS,7.7,3.5,26.4,87.3
Sertraline_BF,0.1,1.3,18.4,30.7
Sulfasalazine_AS,25.5,4.4,95.8,12.6
Sulfasalazine_BF,21.6,2.6,80.5,14.1
Tolperison_AS,38.5,1.5,121.6,6.6
Tolperison_BF,14.4,3.3,125.3,16.2
Torasemid_AS,47.5,7.2,108,2.5
Torasemid_BF,33.2,11.6,103,6.6
Trazodone_AS,43.7,7.4,133.7,20
Trazodone_BF,33.3,6.2,123.9,17.5
Valaciclovir_AS,5,1.4,81.4,21.5
Valaciclovir_BF,-0.8,7.6,92.7,12.5
