Compound,ar_mean,ar_stdv,rr_mean,rr_stdv
Abacavir_AS,45.2,5.1,117.4,15.8
Abacavir_BF,16.1,20.6,111.8,18.9
Acemetacin_AS,19.3,3.3,89.4,22.1
Acemetacin_BF,17.1,3,74.1,17
Albuterol_AS,36.2,2.1,116.1,15.4
Albuterol_BF,34,9.4,112.4,10
Amisulprid_AS,41.1,7.8,111.9,14.1
Amisulprid_BF,42.4,7.8,124.4,18.3
Amlodipine_AS,18.6,3.5,107.4,16.1
Amlodipine_BF,1.2,1.3,16.6,24.9
Apixaban_AS,42.6,7.3,108.2,16
Apixaban_BF,46.7,11.2,123.2,14.6
Apremilast_AS,60.5,34,124.9,1.5
Apremilast_BF,70,11,128.2,24.5
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_AS,8.8,0.8,88.5,28.1
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_BF,5,2.8,38.2,18.6
Bisacodyl_AS,1.5,1.6,15.4,27.7
Bisacodyl_BF,27.8,8.7,144.2,28
Bupropion_AS,12.9,1.6,142.6,25.2
Bupropion_BF,3.3,1.7,136.2,27.4
Chlorotoluron_AS,32.9,2.3,99,2.4
Chlorotoluron_BF,30.2,3.9,107.9,17.8
Clomipramine_AS,16.9,4.6,125.3,26
Clomipramine_BF,0.6,1.3,52.8,22.5
Codein_AS,46,6.4,112.7,16.2
Codein_BF,32.4,11,112.8,9.9
Cyclophosphamid_AS,34.4,4.5,102.4,6.7
Cyclophosphamid_BF,34.2,18.9,130.5,12.9
Darunavir_AS,32.3,5.4,103.2,6.9
Darunavir_BF,4.4,7.5,62.4,20.4
Dexlansoprazole_AS,51.9,7.5,109.1,10.2
Dexlansoprazole_BF,37.7,4.5,92.5,3.2
Dextromethorphan_AS,34.2,10.2,130.8,31.8
Dextromethorphan_BF,11.1,2.5,88.6,20.2
Diclofenac_AS,13.6,7.8,-4.9,27.3
Diclofenac_BF,10.6,5.9,89,16.4
Diltiazem_AS,43.9,7.3,121,17.8
Diltiazem_BF,21.8,5.5,93.5,20.5
Diosmin_AS,18.9,22.3,66.4,412
Diosmin_BF,2.7,5.8,114.3,32.4
Edoxaban_AS,50.7,3.3,110.2,11.2
Edoxaban_BF,44.2,6.3,106.9,3.9
Elvitegravir_AS,9.7,6.6,194,93.3
Elvitegravir_BF,7.8,11.4,57.6,28.9
Emtricitabine_AS,35.9,5.5,79.5,9.4
Emtricitabine_BF,25.8,13.8,85.6,5.9
Entacapone_AS,11.4,2.8,99.2,23.6
Entacapone_BF,5.3,0.9,89.5,10.1
Enzalutamide_AS,25.9,3.1,123.8,14.8
Enzalutamide_BF,23.8,4,87,19.4
Etodolac_AS,65.6,9.5,97.1,17.1
Etodolac_BF,59.5,12.5,100.7,10.2
Febuxostat_AS,26.6,2.2,107.3,15.9
Febuxostat_BF,19.1,4.7,71.7,14.6
Fenfluramine_AS,37.1,9.2,117.7,12.7
Fenfluramine_BF,28.7,4.1,105.7,7.9
Gliclazide_AS,42.2,5.9,96.9,8.1
Gliclazide_BF,-6.7,12.4,69.3,13
Icaridin_AS,31.4,7.3,121.4,12.2
Icaridin_BF,30,4.3,94.9,9.8
Ifosfamid_AS,35.4,4.2,113.8,14.1
Ifosfamid_BF,41,5.1,119.6,16
Isoproturon_AS,31,9.3,118.9,11.6
Isoproturon_BF,31,8.1,121.4,25
Ketamin_AS,42,5.2,98.8,8.8
Ketamin_BF,40.5,10.7,98,18.9
Levamisol_AS,35.6,13.9,138,6
Levamisol_BF,25.9,12.6,117.9,20.6
Losartan_AS,54.5,19.4,96.5,14.9
Losartan_BF,10,4.9,63.6,22.4
Metoclopramid_AS,37.5,8.8,125.3,10.7
Metoclopramid_BF,26.6,13,142,15.6
Metoxuron_AS,36.8,7.1,107.9,16.5
Metoxuron_BF,35.8,13.9,135.7,17.8
Mexiletine_AS,37.5,5.7,112.2,12.3
Mexiletine_BF,28.9,6.2,87.5,17.5
Mirabegron_AS,57.9,17.2,92.1,7.5
Mirabegron_BF,23.3,4.4,79.1,13.8
Moclobemid_AS,48.1,4.7,113.8,6
Moclobemid_BF,40.4,9.1,111.5,14.5
Monuron_AS,34.3,7.9,107,14.7
Monuron_BF,33.6,5.7,113.9,12.8
Morphin_AS,28.8,7.6,114.8,28.2
Morphin_BF,17.5,11,114.4,14.1
Mycophenolsaeure_AS,20.1,2.5,103.9,7.6
Mycophenolsaeure_BF,16.4,5.1,119.1,22.5
Naloxone_AS,58.5,7.6,134.2,19.7
Naloxone_BF,51.7,8.4,118.3,11.8
Neohesperidin dihydrochalcon_AS,36,9.6,106,10.6
Neohesperidin dihydrochalcon_BF,22.7,5.3,100,17
Neotam_AS,42.8,5.8,101.5,15.8
Neotam_BF,39.7,10.5,110.7,8.2
Olmesartan_AS,52.9,18.9,96.1,19.7
Olmesartan_BF,24.8,5.1,92.1,11.7
Pantoprazol_AS,55,2.5,109.7,12
Pantoprazol_BF,37.9,19.7,113,6.1
Pirfenidone_AS,44.6,11.7,105.4,11.8
Pirfenidone_BF,42.2,4.1,106.3,15.5
Pravastatin_AS,21.6,6.1,77.1,15.4
Pravastatin_BF,15.7,12.3,128.6,20
Primidon_AS,30.4,6.4,124.6,13.7
Primidon_BF,36.1,4.2,108,12.7
Propranolol_AS,41,6.6,125.7,10.6
Propranolol_BF,23.8,5.6,107.4,15.2
Pseudoephedrine_AS,30.8,14.3,135.7,12.2
Pseudoephedrine_BF,26.3,5.7,102,9.3
Rivaroxaban_AS,36,1.7,106.8,16.5
Rivaroxaban_BF,37,6.5,104.7,10.6
