Compound,ar_mean,ar_stdv,rr_mean,rr_stdv
Albuterol_AS,36.2,2.1,116.1,15.4
Albuterol_BF,34,9.4,112.4,10
Amisulprid_AS,41.1,7.8,111.9,14.1
Amisulprid_BF,42.4,7.8,124.4,18.3
Chlorotoluron_AS,32.9,2.3,99,2.4
Chlorotoluron_BF,30.2,3.9,107.9,17.8
Codein_AS,46,6.4,112.7,16.2
Codein_BF,32.4,11,112.8,9.9
Cyclophosphamid_AS,34.4,4.5,102.4,6.7
Cyclophosphamid_BF,34.2,18.9,130.5,12.9
Darunavir_AS,32.3,5.4,103.2,6.9
Darunavir_BF,4.4,7.5,62.4,20.4
Diclofenac_AS,13.6,7.8,-4.9,27.3
Diclofenac_BF,10.6,5.9,89,16.4
Emtricitabine_AS,35.9,5.5,79.5,9.4
Emtricitabine_BF,25.8,13.8,85.6,5.9
Etodolac_AS,65.6,9.5,97.1,17.1
Etodolac_BF,59.5,12.5,100.7,10.2
Isoproturon_AS,31,9.3,118.9,11.6
Isoproturon_BF,31,8.1,121.4,25
Ketamin_AS,42,5.2,98.8,8.8
Ketamin_BF,40.5,10.7,98,18.9
Losartan_AS,54.5,19.4,96.5,14.9
Losartan_BF,10,4.9,63.6,22.4
Metoxuron_AS,36.8,7.1,107.9,16.5
Metoxuron_BF,35.8,13.9,135.7,17.8
Morphin_AS,28.8,7.6,114.8,28.2
Morphin_BF,17.5,11,114.4,14.1
Neotam_AS,42.8,5.8,101.5,15.8
Neotam_BF,39.7,10.5,110.7,8.2
Pantoprazol_AS,55,2.5,109.7,12
Pantoprazol_BF,37.9,19.7,113,6.1
Pravastatin_AS,21.6,6.1,77.1,15.4
Pravastatin_BF,15.7,12.3,128.6,20
Primidon_AS,30.4,6.4,124.6,13.7
Primidon_BF,36.1,4.2,108,12.7
Torasemid_AS,47.1,7.2,108,2.5
Torasemid_BF,32.9,11.5,103,6.6
Tramadol_AS,34.6,6.9,140.9,15.2
Tramadol_BF,35.4,6.7,112,11
Trimipramin_AS,18.1,4.4,123,20.6
Trimipramin_BF,1.2,0.4,85.6,19.5
Venlafaxin_AS,38.3,5.8,120.6,14.5
Venlafaxin_BF,39.1,6.1,123.8,10.9
