Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Diclofenac_201_p,19.12,Target Compound,AS_S2_1,5725772,5764857,0.993,19.14,Processed,,Unknown,4653.705,T1,,1,1,AS_S2_1,,1379922,0.02,C14H11Cl2N1O2,M+H,N/A,4653.705,N/A,296.024,296.0235,-1.4558 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S1_1,5146377,6026840,0.854,19.12,Processed,,Unknown,4004.387,T1,,2,1,AS_S1_1,,1140056,0.00,C14H11Cl2N1O2,M+H,N/A,4004.387,N/A,296.024,296.0238,-.6311 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S5_2,4631994,5538314,0.836,19.12,Processed,,Unknown,3922.563,T1,,3,1,AS_S5_2,,1147504,0.00,C14H11Cl2N1O2,M+H,N/A,3922.563,N/A,296.024,296.0237,-.7341 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S2_2,6331271,6117962,1.035,19.13,Processed,,Unknown,4847.815,T1,,4,1,AS_S2_2,,1817699,0.01,C14H11Cl2N1O2,M+H,N/A,4847.815,N/A,296.024,296.0237,-.9403 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S1_2,5658683,5903468,0.959,19.13,Processed,,Unknown,4492.042,T1,,5,1,AS_S1_2,,1223792,0.01,C14H11Cl2N1O2,M+H,N/A,4492.042,N/A,296.024,296.0237,-1.0434 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S5_3,4493011,5618343,0.8,19.15,Processed,,Unknown,3751.737,T1,,6,1,AS_S5_3,,1014373,0.03,C14H11Cl2N1O2,M+H,N/A,3751.737,N/A,296.024,296.0236,-1.1465 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S2_3,5719705,5946087,0.962,19.13,Processed,,Unknown,4507.853,T1,,7,1,AS_S2_3,,1427996,0.01,C14H11Cl2N1O2,M+H,N/A,4507.853,N/A,296.024,296.0239,-.1156 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S1_3,5685888,5297268,1.073,19.11,Processed,,Unknown,5027.244,T1,,8,1,AS_S1_3,,1276694,-0.01,C14H11Cl2N1O2,M+H,N/A,5027.244,N/A,296.024,296.0237,-1.0434 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S5_4,8241601,6173708,1.335,19.12,Processed,,Unknown,6246.498,T1,,9,1,AS_S5_4,,1897305,0.00,C14H11Cl2N1O2,M+H,N/A,6246.498,N/A,296.024,296.0237,-1.0434 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S2_4,9544970,6855163,1.392,19.13,Processed,,Unknown,6514.154,T1,,10,1,AS_S2_4,,2216752,0.01,C14H11Cl2N1O2,M+H,N/A,6514.154,N/A,296.024,296.0238,-.6311 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
