Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Etodolac_3308_n,19.16,Target Compound,AS_S2_1,12793723,31717551,0.403,19.17,Processed,,Unknown,1232.127,T1,,1,1,AS_S2_1,,2451682,0.01,C17H21NO3,M-H,N/A,1232.127,N/A,286.1449,286.1449,-.0107 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S1_1,10982128,29913261,0.367,19.18,Processed,,Unknown,1123.98,T1,,2,1,AS_S1_1,,2519896,0.02,C17H21NO3,M-H,N/A,1123.98,N/A,286.1449,286.145,.4159 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S5_2,5950268,32493424,0.183,19.16,Processed,,Unknown,574.737,T1,,3,1,AS_S5_2,,1414106,0.00,C17H21NO3,M-H,N/A,574.737,N/A,286.1449,286.1449,-.0107 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S2_2,14730354,29646386,0.497,19.17,Processed,,Unknown,1511.223,T1,,4,1,AS_S2_2,,3286979,0.01,C17H21NO3,M-H,N/A,1511.223,N/A,286.1449,286.1448,-.1173 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S1_2,16221632,30480356,0.532,19.16,Processed,,Unknown,1616.681,T1,,5,1,AS_S1_2,,3590846,0.00,C17H21NO3,M-H,N/A,1616.681,N/A,286.1449,286.1447,-.7572 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S5_3,5241128,30743711,0.17,19.18,Processed,,Unknown,536.996,T1,,6,1,AS_S5_3,,1096557,0.02,C17H21NO3,M-H,N/A,536.996,N/A,286.1449,286.1449,-.0107 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S2_3,16647897,31329418,0.531,19.16,Processed,,Unknown,1614.242,T1,,7,1,AS_S2_3,,3828453,0.00,C17H21NO3,M-H,N/A,1614.242,N/A,286.1449,286.145,.3093 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S1_3,14151664,27349746,0.517,19.16,Processed,,Unknown,1572.606,T1,,8,1,AS_S1_3,,2937267,0.00,C17H21NO3,M-H,N/A,1572.606,N/A,286.1449,286.1449,.2026 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S5_4,29089553,32916267,0.884,19.16,Processed,,Unknown,2665.989,T1,,9,1,AS_S5_4,,6591990,0.00,C17H21NO3,M-H,N/A,2665.989,N/A,286.1449,286.145,.4159 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.16,Target Compound,AS_S2_4,44857842,34464763,1.302,19.19,Processed,,Unknown,3913.098,T1,,10,1,AS_S2_4,,8524665,0.03,C17H21NO3,M-H,N/A,3913.098,N/A,286.1449,286.145,.3093 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
