Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Isoproturon_286_p,17.1,Target Compound,AS_S2_1,40561543,190009034,0.213,17.09,Processed,,Unknown,927.585,T1,,1,1,AS_S2_1,,8051707,-0.01,C12H18N2O1,M+H,N/A,927.585,N/A,207.1492,207.149,-1.1282 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S1_1,32872188,199153915,0.165,17.1,Processed,,Unknown,668.536,T1,,2,1,AS_S1_1,,7097227,0.00,C12H18N2O1,M+H,N/A,668.536,N/A,207.1492,207.149,-.9072 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S5_2,22049163,195062017,0.113,17.08,Processed,,Unknown,390.171,T1,,3,1,AS_S5_2,,4452919,-0.02,C12H18N2O1,M+H,N/A,390.171,N/A,207.1492,207.149,-1.0545 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S2_2,48222953,199121149,0.242,17.08,Processed,,Unknown,1081.194,T1,,4,1,AS_S2_2,,10805687,-0.02,C12H18N2O1,M+H,N/A,1081.194,N/A,207.1492,207.1491,-.2442 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S1_2,48042444,188379204,0.255,17.08,Processed,,Unknown,1149.961,T1,,5,1,AS_S1_2,,9646635,-0.02,C12H18N2O1,M+H,N/A,1149.961,N/A,207.1492,207.1492,-.1706 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S5_3,20978241,184255116,0.114,17.11,Processed,,Unknown,394.546,T1,,6,1,AS_S5_3,,4371597,0.01,C12H18N2O1,M+H,N/A,394.546,N/A,207.1492,207.149,-.7599 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S2_3,52587410,196518476,0.268,17.1,Processed,,Unknown,1217.193,T1,,7,1,AS_S2_3,,10313112,0.00,C12H18N2O1,M+H,N/A,1217.193,N/A,207.1492,207.1491,-.2442 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S1_3,44444890,184917236,0.24,17.08,Processed,,Unknown,1071.408,T1,,8,1,AS_S1_3,,9474549,-0.02,C12H18N2O1,M+H,N/A,1071.408,N/A,207.1492,207.1491,-.3179 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S5_4,83888083,190289790,0.441,17.1,Processed,,Unknown,2144.223,T1,,9,1,AS_S5_4,,20917846,0.00,C12H18N2O1,M+H,N/A,2144.223,N/A,207.1492,207.149,-.7599 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S2_4,116483044,202261763,0.576,17.09,Processed,,Unknown,2866.904,T1,,10,1,AS_S2_4,,24394056,-0.01,C12H18N2O1,M+H,N/A,2866.904,N/A,207.1492,207.1489,-1.4228 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
