Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Ketamin_2826_p,10.71,Target Compound,AS_S2_1,28413208,180795425,0.157,10.71,Processed,,Unknown,941.721,T1,,1,1,AS_S2_1,,5027095,0.00,C13H16ClNO,M+H,N/A,941.721,N/A,238.0993,238.0994,.1900 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S1_1,24462342,182746379,0.134,10.7,Processed,,Unknown,803.185,T1,,2,1,AS_S1_1,,4248289,-0.01,C13H16ClNO,M+H,N/A,803.185,N/A,238.0993,238.0994,.2541 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S5_2,13634275,182555396,0.075,10.68,Processed,,Unknown,451.309,T1,,3,1,AS_S5_2,,2745894,-0.03,C13H16ClNO,M+H,N/A,451.309,N/A,238.0993,238.0995,.8308 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S2_2,35617019,178580249,0.199,10.68,Processed,,Unknown,1193.19,T1,,4,1,AS_S2_2,,6170312,-0.03,C13H16ClNO,M+H,N/A,1193.19,N/A,238.0993,238.0995,.8308 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S1_2,36349154,167072703,0.218,10.69,Processed,,Unknown,1300.937,T1,,5,1,AS_S1_2,,6880777,-0.02,C13H16ClNO,M+H,N/A,1300.937,N/A,238.0993,238.0994,.1900 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S5_3,12311930,192258911,0.064,10.7,Processed,,Unknown,387.994,T1,,6,1,AS_S5_3,,2025550,-0.01,C13H16ClNO,M+H,N/A,387.994,N/A,238.0993,238.0993,.0618 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S2_3,39054120,181272605,0.215,10.69,Processed,,Unknown,1288.326,T1,,7,1,AS_S2_3,,6677022,-0.02,C13H16ClNO,M+H,N/A,1288.326,N/A,238.0993,238.0994,.3822 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S1_3,35161004,162502228,0.216,10.67,Processed,,Unknown,1293.846,T1,,8,1,AS_S1_3,,6466945,-0.04,C13H16ClNO,M+H,N/A,1293.846,N/A,238.0993,238.0995,.8308 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S5_4,60516087,160393150,0.377,10.66,Processed,,Unknown,2250.789,T1,,9,1,AS_S5_4,,10216948,-0.05,C13H16ClNO,M+H,N/A,2250.789,N/A,238.0993,238.0994,.5104 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S2_4,96191210,184740114,0.521,10.69,Processed,,Unknown,3103.427,T1,,10,1,AS_S2_4,,16265981,-0.02,C13H16ClNO,M+H,N/A,3103.427,N/A,238.0993,238.0993,-.0023 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S1_4,78429266,170205389,0.461,10.68,Processed,,Unknown,2747.281,T1,,11,1,AS_S1_4,,14198220,-0.03,C13H16ClNO,M+H,N/A,2747.281,N/A,238.0993,238.0991,-.8995 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S5_5,117684474,166483706,0.707,10.68,Processed,,Unknown,4210.655,T1,,12,1,AS_S5_5,,18933932,-0.03,C13H16ClNO,M+H,N/A,4210.655,N/A,238.0993,238.0993,-.1304 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S2_5,136346812,163666787,0.833,10.66,Processed,,Unknown,4961.057,T1,,13,1,AS_S2_5,,25880696,-0.05,C13H16ClNO,M+H,N/A,4961.057,N/A,238.0993,238.0995,.7027 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S1_5,120880716,151521966,0.798,10.64,Processed,,Unknown,4751.154,T1,,14,1,AS_S1_5,,21065370,-0.07,C13H16ClNO,M+H,N/A,4751.154,N/A,238.0993,238.0994,.3822 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S5_6,109210305,150339791,0.726,10.64,Processed,,Unknown,4326.851,T1,,15,1,AS_S5_6,,17055720,-0.07,C13H16ClNO,M+H,N/A,4326.851,N/A,238.0993,238.0994,.3822 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S2_6,143755950,166403099,0.864,10.68,Processed,,Unknown,5144.365,T1,,16,1,AS_S2_6,,25256456,-0.03,C13H16ClNO,M+H,N/A,5144.365,N/A,238.0993,238.0993,-.0023 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,AS_S1_6,130067728,153318260,0.848,10.66,Processed,,Unknown,5051.893,T1,,17,1,AS_S1_6,,21897226,-0.05,C13H16ClNO,M+H,N/A,5051.893,N/A,238.0993,238.0993,-.0023 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S5_1,N/F,193102562,N/F,N/F,Processed,,Unknown,N/F,T1,,18,1,BF_S5_1,,N/F,N/F,C13H16ClNO,N/A,N/A,N/F,N/A,238.0993,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S2_1,32346336,201291668,0.161,10.63,Processed,,Unknown,962.754,T1,,19,1,BF_S2_1,,6192752,-0.08,C13H16ClNO,M+H,N/A,962.754,N/A,238.0993,238.0992,-.5790 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S1_1,26144853,179318166,0.146,10.64,Processed,,Unknown,874.197,T1,,20,1,BF_S1_1,,4527042,-0.07,C13H16ClNO,M+H,N/A,874.197,N/A,238.0993,238.0992,-.3868 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S5_2,11548768,185360118,0.062,10.64,Processed,,Unknown,377.684,T1,,21,1,BF_S5_2,,2027656,-0.07,C13H16ClNO,M+H,N/A,377.684,N/A,238.0993,238.0991,-.8354 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S2_2,40686572,184623069,0.22,10.62,Processed,,Unknown,1317.655,T1,,22,1,BF_S2_2,,6735190,-0.09,C13H16ClNO,M+H,N/A,1317.655,N/A,238.0993,238.0991,-1.0276 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S1_2,36764290,172137719,0.214,10.64,Processed,,Unknown,1277.21,T1,,23,1,BF_S1_2,,6029141,-0.07,C13H16ClNO,M+H,N/A,1277.21,N/A,238.0993,238.0992,-.6431 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S5_3,11633896,189094618,0.062,10.63,Processed,,Unknown,373.044,T1,,24,1,BF_S5_3,,1724345,-0.08,C13H16ClNO,M+H,N/A,373.044,N/A,238.0993,238.0992,-.6431 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,BF_S2_3,41783737,187484759,0.223,10.66,Processed,,Unknown,1332.452,T1,,25,1,BF_S2_3,,6740573,-0.05,C13H16ClNO,M+H,N/A,1332.452,N/A,238.0993,238.0991,-.7713 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
