Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Morphin_2744_p,6.37,Target Compound,AS_S2_1,8262608,28954706,0.285,6.25,Processed,,Unknown,840.179,T1,,1,1,AS_S2_1,,907956,-0.12,C17H19NO3,M+H,N/A,840.179,N/A,286.1438,286.1433,-1.4990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S1_1,9124340,24813811,0.368,6.23,Processed,,Unknown,1076.889,T1,,2,1,AS_S1_1,,834579,-0.14,C17H19NO3,M+H,N/A,1076.889,N/A,286.1438,286.1434,-1.3924 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S5_2,5867287,26898343,0.218,6.21,Processed,,Unknown,646.914,T1,,3,1,AS_S5_2,,499838,-0.16,C17H19NO3,M+H,N/A,646.914,N/A,286.1438,286.1434,-1.3924 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S2_2,9909936,24862546,0.399,6.21,Processed,,Unknown,1165.644,T1,,4,1,AS_S2_2,,965987,-0.16,C17H19NO3,M+H,N/A,1165.644,N/A,286.1438,286.1433,-1.6057 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S1_2,11726846,20964819,0.559,6.18,Processed,,Unknown,1627.771,T1,,5,1,AS_S1_2,,892009,-0.19,C17H19NO3,M+H,N/A,1627.771,N/A,286.1438,286.1435,-1.0724 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S5_3,5883648,26927636,0.218,6.24,Processed,,Unknown,647.978,T1,,6,1,AS_S5_3,,743264,-0.13,C17H19NO3,M+H,N/A,647.978,N/A,286.1438,286.1431,-2.4589 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S2_3,10564202,25601702,0.413,6.2,Processed,,Unknown,1206.024,T1,,7,1,AS_S2_3,,1053274,-0.17,C17H19NO3,M+H,N/A,1206.024,N/A,286.1438,286.1433,-1.4990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S1_3,13486209,23445364,0.575,6.24,Processed,,Unknown,1673.361,T1,,8,1,AS_S1_3,,1370379,-0.13,C17H19NO3,M+H,N/A,1673.361,N/A,286.1438,286.1432,-1.9256 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S5_4,24302089,24453610,0.994,6.25,Processed,,Unknown,2876.574,T1,,9,1,AS_S5_4,,2804920,-0.12,C17H19NO3,M+H,N/A,2876.574,N/A,286.1438,286.1434,-1.3924 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S2_4,29220332,24641275,1.186,6.24,Processed,,Unknown,3428.545,T1,,10,1,AS_S2_4,,2829597,-0.13,C17H19NO3,M+H,N/A,3428.545,N/A,286.1438,286.1431,-2.2456 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S1_4,25752101,20614110,1.249,6.26,Processed,,Unknown,3610.838,T1,,11,1,AS_S1_4,,2359338,-0.11,C17H19NO3,M+H,N/A,3610.838,N/A,286.1438,286.1433,-1.7123 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S5_5,42024433,21178086,1.984,6.23,Processed,,Unknown,5723.834,T1,,12,1,AS_S5_5,,5311704,-0.14,C17H19NO3,M+H,N/A,5723.834,N/A,286.1438,286.1433,-1.4990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S2_5,45072109,21043427,2.142,6.24,Processed,,Unknown,6176.638,T1,,13,1,AS_S2_5,,4550795,-0.13,C17H19NO3,M+H,N/A,6176.638,N/A,286.1438,286.1436,-.7525 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S1_5,38273993,17883131,2.14,6.24,Processed,,Unknown,6171.945,T1,,14,1,AS_S1_5,,3886754,-0.13,C17H19NO3,M+H,N/A,6171.945,N/A,286.1438,286.1434,-1.3924 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S5_6,38297671,20926647,1.83,6.24,Processed,,Unknown,5280.462,T1,,15,1,AS_S5_6,,3661060,-0.13,C17H19NO3,M+H,N/A,5280.462,N/A,286.1438,286.1433,-1.4990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
