Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pantoprazol_644_p,14.65,Target Compound,AS_S2_1,24534407,44953437,0.546,14.7,Processed,,Unknown,1793.148,T1,,1,1,AS_S2_1,,5028367,0.05,C16H15F2N3O4S,M+H,N/A,1793.148,N/A,384.0824,384.0824,-.1121 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S1_1,21656025,47889622,0.452,14.69,Processed,,Unknown,1487.879,T1,,2,1,AS_S1_1,,4119171,0.04,C16H15F2N3O4S,M+H,N/A,1487.879,N/A,384.0824,384.0822,-.5888 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S5_2,9406060,42441518,0.222,14.69,Processed,,Unknown,735.584,T1,,3,1,AS_S5_2,,1890002,0.04,C16H15F2N3O4S,M+H,N/A,735.584,N/A,384.0824,384.0821,-.8272 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S2_2,28409442,45772902,0.621,14.7,Processed,,Unknown,2037.472,T1,,4,1,AS_S2_2,,5835825,0.05,C16H15F2N3O4S,M+H,N/A,2037.472,N/A,384.0824,384.0823,-.1916 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S1_2,26542654,41246057,0.644,14.7,Processed,,Unknown,2112.052,T1,,5,1,AS_S1_2,,5031458,0.05,C16H15F2N3O4S,M+H,N/A,2112.052,N/A,384.0824,384.0825,.1263 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S5_3,10088964,43679121,0.231,14.73,Processed,,Unknown,766.106,T1,,6,1,AS_S5_3,,2178703,0.08,C16H15F2N3O4S,M+H,N/A,766.106,N/A,384.0824,384.0823,-.3505 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S2_3,31564691,44733989,0.706,14.71,Processed,,Unknown,2314.622,T1,,7,1,AS_S2_3,,5837310,0.06,C16H15F2N3O4S,M+H,N/A,2314.622,N/A,384.0824,384.0822,-.4299 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S1_3,27589685,43460190,0.635,14.71,Processed,,Unknown,2083.69,T1,,8,1,AS_S1_3,,5425571,0.06,C16H15F2N3O4S,M+H,N/A,2083.69,N/A,384.0824,384.0823,-.2710 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S5_4,45496478,39580731,1.149,14.72,Processed,,Unknown,3762.722,T1,,9,1,AS_S5_4,,9518984,0.07,C16H15F2N3O4S,M+H,N/A,3762.722,N/A,384.0824,384.0822,-.5094 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.65,Target Compound,AS_S2_4,72111347,45335757,1.591,14.74,Processed,,Unknown,5201.996,T1,,10,1,AS_S2_4,,13390292,0.09,C16H15F2N3O4S,M+H,N/A,5201.996,N/A,384.0824,384.0823,-.2710 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
