Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pravastatin_2859_n,16.84,Target Compound,AS_S2_1,3324606,12583917,0.264,16.86,Processed,,Unknown,1097.845,T1,,1,1,AS_S2_1,,729659,0.02,C23H36O7,M-H,N/A,1097.845,N/A,423.2388,423.2393,1.0829 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S1_1,4728635,12812857,0.369,16.87,Processed,,Unknown,1526.89,T1,,2,1,AS_S1_1,,922791,0.03,C23H36O7,M-H,N/A,1526.89,N/A,423.2388,423.2393,1.0108 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S5_2,2957665,14099084,0.21,16.83,Processed,,Unknown,875.187,T1,,3,1,AS_S5_2,,544431,-0.01,C23H36O7,M-H,N/A,875.187,N/A,423.2388,423.2391,.7224 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S2_2,5279493,13426626,0.393,16.85,Processed,,Unknown,1625.731,T1,,4,1,AS_S2_2,,1085749,0.01,C23H36O7,M-H,N/A,1625.731,N/A,423.2388,423.2391,.5782 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S1_2,6925637,12728430,0.544,16.85,Processed,,Unknown,2243.147,T1,,5,1,AS_S1_2,,1497686,0.01,C23H36O7,M-H,N/A,2243.147,N/A,423.2388,423.2387,-.2150 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S5_3,2430869,12447393,0.195,16.85,Processed,,Unknown,815.917,T1,,6,1,AS_S5_3,,507053,0.01,C23H36O7,M-H,N/A,815.917,N/A,423.2388,423.2391,.7224 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S2_3,5314354,13388950,0.397,16.84,Processed,,Unknown,1640.912,T1,,7,1,AS_S2_3,,1120662,0.00,C23H36O7,M-H,N/A,1640.912,N/A,423.2388,423.2392,.9387 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S1_3,7057514,12932987,0.546,16.85,Processed,,Unknown,2249.657,T1,,8,1,AS_S1_3,,1459833,0.01,C23H36O7,M-H,N/A,2249.657,N/A,423.2388,423.2392,.9387 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S5_4,13057182,12935462,1.009,16.85,Processed,,Unknown,4146.995,T1,,9,1,AS_S5_4,,2526610,0.01,C23H36O7,M-H,N/A,4146.995,N/A,423.2388,423.2391,.6503 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S2_4,16731617,13760744,1.216,16.86,Processed,,Unknown,4991.857,T1,,10,1,AS_S2_4,,3640019,0.02,C23H36O7,M-H,N/A,4991.857,N/A,423.2388,423.239,.4340 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
