Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Torasemid_3145_p,14.34,Target Compound,AS_S2_1,37345548,53317042,0.7,14.35,Processed,,Unknown,1509.762,T1,,1,1,AS_S2_1,,7033859,0.01,C16H20N4O3S,M+H,N/A,1509.762,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S1_1,30183960,49943337,0.604,14.36,Processed,,Unknown,1305.019,T1,,2,1,AS_S1_1,,6440723,0.02,C16H20N4O3S,M+H,N/A,1305.019,N/A,349.1329,349.1324,-1.2995 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_2,15491890,53530794,0.289,14.34,Processed,,Unknown,633.837,T1,,3,1,AS_S5_2,,2915272,0.00,C16H20N4O3S,M+H,N/A,633.837,N/A,349.1329,349.1326,-.7751 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S2_2,46855206,51825068,0.904,14.34,Processed,,Unknown,1943.759,T1,,4,1,AS_S2_2,,9209510,0.00,C16H20N4O3S,M+H,N/A,1943.759,N/A,349.1329,349.1329,.0990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S1_2,42600697,48668636,0.875,14.34,Processed,,Unknown,1882.425,T1,,5,1,AS_S1_2,,8335194,0.00,C16H20N4O3S,M+H,N/A,1882.425,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_3,13752215,50876183,0.27,14.35,Processed,,Unknown,593.148,T1,,6,1,AS_S5_3,,2632334,0.01,C16H20N4O3S,M+H,N/A,593.148,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S2_3,51941605,52146305,0.996,14.36,Processed,,Unknown,2139.749,T1,,7,1,AS_S2_3,,9786704,0.02,C16H20N4O3S,M+H,N/A,2139.749,N/A,349.1329,349.133,.1864 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S1_3,40528246,45644506,0.888,14.34,Processed,,Unknown,1909.253,T1,,8,1,AS_S1_3,,7622583,0.00,C16H20N4O3S,M+H,N/A,1909.253,N/A,349.1329,349.1328,-.2506 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_4,76959695,47707651,1.613,14.32,Processed,,Unknown,3454.734,T1,,9,1,AS_S5_4,,14287471,-0.02,C16H20N4O3S,M+H,N/A,3454.734,N/A,349.1329,349.1326,-.9499 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S2_4,120318231,54724151,2.199,14.34,Processed,,Unknown,4702.383,T1,,10,1,AS_S2_4,,21592840,0.00,C16H20N4O3S,M+H,N/A,4702.383,N/A,349.1329,349.1328,-.1632 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S1_4,100710445,50758464,1.984,14.36,Processed,,Unknown,4245.244,T1,,11,1,AS_S1_4,,19997016,0.02,C16H20N4O3S,M+H,N/A,4245.244,N/A,349.1329,349.1328,-.4254 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_5,158735598,49627549,3.199,14.37,Processed,,Unknown,6833.173,T1,,12,1,AS_S5_5,,28444432,0.03,C16H20N4O3S,M+H,N/A,6833.173,N/A,349.1329,349.1325,-1.1247 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
