Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Venlafaxin_645_p,13.03,Target Compound,AS_S2_1,55003524,258420071,0.213,13.02,Processed,,Unknown,1299.325,T1,,1,1,AS_S2_1,,8840447,-0.01,C17H27NO2,M+H,N/A,1299.325,N/A,278.2115,278.2112,-.7811 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S1_1,46474894,239149973,0.194,13.01,Processed,,Unknown,1185.211,T1,,2,1,AS_S1_1,,7350543,-0.02,C17H27NO2,M+H,N/A,1185.211,N/A,278.2115,278.2114,-.3424 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S5_2,29009240,242225882,0.12,12.99,Processed,,Unknown,725.513,T1,,3,1,AS_S5_2,,4328936,-0.04,C17H27NO2,M+H,N/A,725.513,N/A,278.2115,278.2113,-.6715 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S2_2,63580242,235920715,0.269,12.99,Processed,,Unknown,1648.558,T1,,4,1,AS_S2_2,,9785599,-0.04,C17H27NO2,M+H,N/A,1648.558,N/A,278.2115,278.2113,-.5618 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S1_2,62765418,227635989,0.276,12.99,Processed,,Unknown,1686.955,T1,,5,1,AS_S1_2,,10254835,-0.04,C17H27NO2,M+H,N/A,1686.955,N/A,278.2115,278.2112,-.7811 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S5_3,28191288,244352023,0.115,12.99,Processed,,Unknown,698.454,T1,,6,1,AS_S5_3,,4473797,-0.04,C17H27NO2,M+H,N/A,698.454,N/A,278.2115,278.2114,-.2327 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S2_3,70414240,244143762,0.288,12.97,Processed,,Unknown,1765.156,T1,,7,1,AS_S2_3,,10994533,-0.06,C17H27NO2,M+H,N/A,1765.156,N/A,278.2115,278.2114,-.3424 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S1_3,63881208,226505803,0.282,12.95,Processed,,Unknown,1725.803,T1,,8,1,AS_S1_3,,10978690,-0.08,C17H27NO2,M+H,N/A,1725.803,N/A,278.2115,278.2114,-.2327 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S5_4,104010708,218773831,0.475,12.95,Processed,,Unknown,2917.984,T1,,9,1,AS_S5_4,,17560980,-0.08,C17H27NO2,M+H,N/A,2917.984,N/A,278.2115,278.2113,-.5618 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S2_4,156134764,245383796,0.636,12.97,Processed,,Unknown,3909.608,T1,,10,1,AS_S2_4,,27799532,-0.06,C17H27NO2,M+H,N/A,3909.608,N/A,278.2115,278.2112,-.7811 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S1_4,138446261,243140705,0.569,12.97,Processed,,Unknown,3497.331,T1,,11,1,AS_S1_4,,20828588,-0.06,C17H27NO2,M+H,N/A,3497.331,N/A,278.2115,278.2113,-.4521 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S5_5,201221262,223491277,0.9,12.96,Processed,,Unknown,5537.425,T1,,12,1,AS_S5_5,,29885544,-0.07,C17H27NO2,M+H,N/A,5537.425,N/A,278.2115,278.2112,-1.1102 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S2_5,231281696,222440976,1.04,12.95,Processed,,Unknown,6396.686,T1,,13,1,AS_S2_5,,36755952,-0.08,C17H27NO2,M+H,N/A,6396.686,N/A,278.2115,278.2114,-.2327 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S1_5,215800999,222366014,0.97,12.95,Processed,,Unknown,5969.691,T1,,14,1,AS_S1_5,,34147624,-0.08,C17H27NO2,M+H,N/A,5969.691,N/A,278.2115,278.2114,-.3424 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S5_6,190160433,233494345,0.814,12.93,Processed,,Unknown,5007.637,T1,,15,1,AS_S5_6,,27553646,-0.10,C17H27NO2,M+H,N/A,5007.637,N/A,278.2115,278.2111,-1.2199 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S2_6,230496397,230506498,1,12.96,Processed,,Unknown,6151.416,T1,,16,1,AS_S2_6,,33727028,-0.07,C17H27NO2,M+H,N/A,6151.416,N/A,278.2115,278.2113,-.6715 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,AS_S1_6,224282182,217975712,1.029,12.94,Processed,,Unknown,6330.036,T1,,17,1,AS_S1_6,,35957520,-0.09,C17H27NO2,M+H,N/A,6330.036,N/A,278.2115,278.2114,-.3424 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S5_1,1887873,272064683,0.007,12.92,Processed,,Unknown,30.029,T1,,18,1,BF_S5_1,,310224,-0.11,C17H27NO2,M+H,N/A,30.029,N/A,278.2115,278.2113,-.5618 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S2_1,41884964,236199071,0.177,12.92,Processed,,Unknown,1080.387,T1,,19,1,BF_S2_1,,6746604,-0.11,C17H27NO2,M+H,N/A,1080.387,N/A,278.2115,278.2111,-1.2199 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S1_1,41398787,238031965,0.174,12.9,Processed,,Unknown,1059.379,T1,,20,1,BF_S1_1,,6315912,-0.13,C17H27NO2,M+H,N/A,1059.379,N/A,278.2115,278.211,-1.7684 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S5_2,19907026,260580328,0.076,12.91,Processed,,Unknown,458.186,T1,,21,1,BF_S5_2,,2958415,-0.12,C17H27NO2,M+H,N/A,458.186,N/A,278.2115,278.2111,-1.4393 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S2_2,64322509,257624726,0.25,12.88,Processed,,Unknown,1526.36,T1,,22,1,BF_S2_2,,9178613,-0.15,C17H27NO2,M+H,N/A,1526.36,N/A,278.2115,278.2108,-2.4265 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S1_2,59392307,245358362,0.242,12.91,Processed,,Unknown,1479.438,T1,,23,1,BF_S1_2,,9577086,-0.12,C17H27NO2,M+H,N/A,1479.438,N/A,278.2115,278.211,-1.5490 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S5_3,20396487,260715021,0.078,12.9,Processed,,Unknown,469.515,T1,,24,1,BF_S5_3,,3495763,-0.13,C17H27NO2,M+H,N/A,469.515,N/A,278.2115,278.211,-1.5490 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S2_3,64987897,248984024,0.261,12.9,Processed,,Unknown,1596.247,T1,,25,1,BF_S2_3,,9877690,-0.13,C17H27NO2,M+H,N/A,1596.247,N/A,278.2115,278.2111,-1.2199 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S1_3,57535973,253483563,0.227,12.9,Processed,,Unknown,1386.463,T1,,26,1,BF_S1_3,,8552555,-0.13,C17H27NO2,M+H,N/A,1386.463,N/A,278.2115,278.211,-1.6587 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S5_4,106134951,243420381,0.436,12.89,Processed,,Unknown,2675.039,T1,,27,1,BF_S5_4,,19085968,-0.14,C17H27NO2,M+H,N/A,2675.039,N/A,278.2115,278.2107,-2.7556 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S2_4,150258607,257028461,0.585,12.87,Processed,,Unknown,3590.976,T1,,28,1,BF_S2_4,,21768252,-0.16,C17H27NO2,M+H,N/A,3590.976,N/A,278.2115,278.211,-1.5490 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S1_4,148795620,260330440,0.572,12.88,Processed,,Unknown,3510.624,T1,,29,1,BF_S1_4,,28925636,-0.15,C17H27NO2,M+H,N/A,3510.624,N/A,278.2115,278.211,-1.6587 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S5_5,192565306,241690961,0.797,12.88,Processed,,Unknown,4898.715,T1,,30,1,BF_S5_5,,33713880,-0.15,C17H27NO2,M+H,N/A,4898.715,N/A,278.2115,278.2111,-1.2199 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S2_5,219652911,221759215,0.991,12.96,Processed,,Unknown,6093.136,T1,,31,1,BF_S2_5,,35091876,-0.07,C17H27NO2,M+H,N/A,6093.136,N/A,278.2115,278.2112,-1.1102 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S1_5,182108472,214141239,0.85,12.95,Processed,,Unknown,5229.567,T1,,32,1,BF_S1_5,,31470464,-0.08,C17H27NO2,M+H,N/A,5229.567,N/A,278.2115,278.2112,-1.0005 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,13.03,Target Compound,BF_S5_6,180328551,242755684,0.743,12.94,Processed,,Unknown,4566.439,T1,,33,1,BF_S5_6,,27946514,-0.09,C17H27NO2,M+H,N/A,4566.439,N/A,278.2115,278.2111,-1.3296 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
