Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Codein_2780_p,8.09,Target Compound,AS_S2_1,18218001,41283205,0.441,8.08,Processed,,Unknown,1191.484,T1,,1,1,AS_S2_1,,3244110,-0.01,C18H21NO3,M+H,N/A,1191.484,N/A,300.1594,300.1591,-.9023 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S1_1,18204220,43324717,0.42,8.08,Processed,,Unknown,1135.107,T1,,2,1,AS_S1_1,,3396982,-0.01,C18H21NO3,M+H,N/A,1135.107,N/A,300.1594,300.1593,-.4956 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S5_2,10129841,41925474,0.242,8.06,Processed,,Unknown,658.278,T1,,3,1,AS_S5_2,,1701484,-0.03,C18H21NO3,M+H,N/A,658.278,N/A,300.1594,300.1592,-.5973 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S2_2,21565525,39867146,0.541,8.07,Processed,,Unknown,1457.559,T1,,4,1,AS_S2_2,,3537025,-0.02,C18H21NO3,M+H,N/A,1457.559,N/A,300.1594,300.1593,-.2923 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S1_2,21895541,38179936,0.573,8.06,Processed,,Unknown,1544.473,T1,,5,1,AS_S1_2,,3675061,-0.03,C18H21NO3,M+H,N/A,1544.473,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S5_3,9910065,42702929,0.232,8.09,Processed,,Unknown,632.788,T1,,6,1,AS_S5_3,,1721687,0.00,C18H21NO3,M+H,N/A,632.788,N/A,300.1594,300.1591,-1.0040 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S2_3,24866945,41132416,0.605,8.09,Processed,,Unknown,1627.455,T1,,7,1,AS_S2_3,,4471028,0.00,C18H21NO3,M+H,N/A,1627.455,N/A,300.1594,300.1593,-.4956 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S1_3,23826661,36898887,0.646,8.07,Processed,,Unknown,1737.393,T1,,8,1,AS_S1_3,,4145638,-0.02,C18H21NO3,M+H,N/A,1737.393,N/A,300.1594,300.1592,-.8006 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S5_4,40231788,37925328,1.061,8.06,Processed,,Unknown,2845.813,T1,,9,1,AS_S5_4,,6506641,-0.03,C18H21NO3,M+H,N/A,2845.813,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S2_4,56900135,38363550,1.483,8.05,Processed,,Unknown,3973.67,T1,,10,1,AS_S2_4,,10540270,-0.04,C18H21NO3,M+H,N/A,3973.67,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S1_4,48149290,35773131,1.346,8.06,Processed,,Unknown,3607.248,T1,,11,1,AS_S1_4,,8662772,-0.03,C18H21NO3,M+H,N/A,3607.248,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S5_5,68405140,32151206,2.128,8.09,Processed,,Unknown,5694.497,T1,,12,1,AS_S5_5,,11856011,0.00,C18H21NO3,M+H,N/A,5694.497,N/A,300.1594,300.159,-1.5123 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S2_5,78738072,34871955,2.258,8.06,Processed,,Unknown,6042.474,T1,,13,1,AS_S2_5,,13038464,-0.03,C18H21NO3,M+H,N/A,6042.474,N/A,300.1594,300.1594,-.0889 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S1_5,72671675,30863213,2.355,8.06,Processed,,Unknown,6300.743,T1,,14,1,AS_S1_5,,12995853,-0.03,C18H21NO3,M+H,N/A,6300.743,N/A,300.1594,300.1593,-.3939 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S5_6,70459437,34808223,2.024,8.06,Processed,,Unknown,5418.414,T1,,15,1,AS_S5_6,,12198287,-0.03,C18H21NO3,M+H,N/A,5418.414,N/A,300.1594,300.1591,-.9023 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S2_6,77343737,32404956,2.387,8.07,Processed,,Unknown,6386.593,T1,,16,1,AS_S2_6,,15143477,-0.02,C18H21NO3,M+H,N/A,6386.593,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S1_6,73109593,31824438,2.297,8.06,Processed,,Unknown,6147.575,T1,,17,1,AS_S1_6,,13513439,-0.03,C18H21NO3,M+H,N/A,6147.575,N/A,300.1594,300.1592,-.8006 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,BF_S5_1,N/F,46245561,N/F,N/F,Processed,,Unknown,N/F,T1,,18,1,BF_S5_1,,N/F,N/F,C18H21NO3,M+H,N/A,N/F,N/A,300.1594,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,BF_S2_1,16831193,42138739,0.399,8.05,Processed,,Unknown,1079.677,T1,,19,1,BF_S2_1,,3151252,-0.04,C18H21NO3,M+H,N/A,1079.677,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,BF_S1_1,15940716,39725415,0.401,8.06,Processed,,Unknown,1084.615,T1,,20,1,BF_S1_1,,2958425,-0.03,C18H21NO3,M+H,N/A,1084.615,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
