Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Metoxuron_3204_p,14.6,Target Compound,AS_S2_1,13831799,33386519,0.414,14.61,Processed,,Unknown,1101.185,T1,,1,1,AS_S2_1,,2701997,0.01,C10H13ClN2O2,M+H,N/A,1101.185,N/A,229.0738,229.0739,.4314 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S1_1,10815041,35125073,0.308,14.6,Processed,,Unknown,818.35,T1,,2,1,AS_S1_1,,2137520,0.00,C10H13ClN2O2,M+H,N/A,818.35,N/A,229.0738,229.0739,.2316 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S5_2,5752358,33243137,0.173,14.61,Processed,,Unknown,459.83,T1,,3,1,AS_S5_2,,1161713,0.01,C10H13ClN2O2,M+H,N/A,459.83,N/A,229.0738,229.0739,.4314 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S2_2,17405377,36258071,0.48,14.61,Processed,,Unknown,1275.972,T1,,4,1,AS_S2_2,,3310932,0.01,C10H13ClN2O2,M+H,N/A,1275.972,N/A,229.0738,229.0739,.2982 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S1_2,16784430,33723920,0.498,14.61,Processed,,Unknown,1322.918,T1,,5,1,AS_S1_2,,3128758,0.01,C10H13ClN2O2,M+H,N/A,1322.918,N/A,229.0738,229.0739,.3648 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S5_3,5470456,33846181,0.162,14.62,Processed,,Unknown,429.492,T1,,6,1,AS_S5_3,,1115032,0.02,C10H13ClN2O2,M+H,N/A,429.492,N/A,229.0738,229.0739,.1650 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S2_3,18627959,36850074,0.506,14.6,Processed,,Unknown,1343.669,T1,,7,1,AS_S2_3,,3602865,0.00,C10H13ClN2O2,M+H,N/A,1343.669,N/A,229.0738,229.0738,-.2347 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S1_3,15778852,33902579,0.465,14.58,Processed,,Unknown,1237.095,T1,,8,1,AS_S1_3,,3071766,-0.02,C10H13ClN2O2,M+H,N/A,1237.095,N/A,229.0738,229.0739,.1650 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S5_4,24660976,31478628,0.783,14.61,Processed,,Unknown,2082.478,T1,,9,1,AS_S5_4,,4631807,0.01,C10H13ClN2O2,M+H,N/A,2082.478,N/A,229.0738,229.0739,.0984 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S2_4,38761197,33758743,1.148,14.61,Processed,,Unknown,3052.171,T1,,10,1,AS_S2_4,,8273663,0.01,C10H13ClN2O2,M+H,N/A,3052.171,N/A,229.0738,229.0739,.0984 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S1_4,30663261,33096251,0.926,14.61,Processed,,Unknown,2462.812,T1,,11,1,AS_S1_4,,5682021,0.01,C10H13ClN2O2,M+H,N/A,2462.812,N/A,229.0738,229.0739,.0984 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S5_5,49789454,30329323,1.642,14.61,Processed,,Unknown,4363.955,T1,,12,1,AS_S5_5,,9430646,0.01,C10H13ClN2O2,M+H,N/A,4363.955,N/A,229.0738,229.0739,.0984 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
