Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Albuterol_2851_p,7.48,Target Compound,AS_S4_1,N/F,49310449,N/F,N/F,Processed,,Unknown,N/F,T1,,1,1,AS_S4_1,,N/F,N/F,C13H21NO3,N/A,N/A,N/F,N/A,240.1594,N/F,N/F,1,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S3_1,8982097,40698350,0.221,7.43,Processed,,Unknown,1100.652,T1,,2,1,AS_S3_1,,700739,-0.05,C13H21NO3,M+H,N/A,1100.652,N/A,240.1594,240.1594,.0795 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S4_2,4945707,42692034,0.116,7.41,Processed,,Unknown,588.176,T1,,3,1,AS_S4_2,,282751,-0.07,C13H21NO3,M+H,N/A,588.176,N/A,240.1594,240.1594,-.1747 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S3_2,13973141,43214087,0.323,7.47,Processed,,Unknown,1602.348,T1,,4,1,AS_S3_2,,978466,-0.01,C13H21NO3,M+H,N/A,1602.348,N/A,240.1594,240.1593,-.4288 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S4_3,4751052,36930803,0.129,7.48,Processed,,Unknown,650.743,T1,,5,1,AS_S4_3,,328640,0.00,C13H21NO3,M+H,N/A,650.743,N/A,240.1594,240.1593,-.3017 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S3_3,13870790,41516871,0.334,7.45,Processed,,Unknown,1654.905,T1,,6,1,AS_S3_3,,980855,-0.03,C13H21NO3,M+H,N/A,1654.905,N/A,240.1594,240.1594,-.1747 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S4_4,21155684,37418741,0.565,7.42,Processed,,Unknown,2785.282,T1,,7,1,AS_S4_4,,1624083,-0.06,C13H21NO3,M+H,N/A,2785.282,N/A,240.1594,240.1593,-.6830 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S3_4,29139516,37093527,0.786,7.44,Processed,,Unknown,3861.483,T1,,8,1,AS_S3_4,,2293324,-0.04,C13H21NO3,M+H,N/A,3861.483,N/A,240.1594,240.1593,-.4288 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S4_5,46074246,39791596,1.158,7.44,Processed,,Unknown,5681.219,T1,,9,1,AS_S4_5,,3579500,-0.04,C13H21NO3,M+H,N/A,5681.219,N/A,240.1594,240.1592,-1.0642 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,AS_S3_5,82651597,34273069,2.412,7.46,Processed,,Unknown,11808.613,T1,,10,1,AS_S3_5,,6232233,-0.02,C13H21NO3,M+H,N/A,11808.613,N/A,240.1594,240.1594,.0159 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
