Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Amisulprid_2852_p,9.35,Target Compound,AS_S4_1,4711041,298399597,0.016,9.34,Processed,,Unknown,219.124,T1,,1,1,AS_S4_1,,782184,-0.01,C17H27N3O4S,M+H,N/A,219.124,N/A,370.1795,370.1797,.5890 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_1,38621864,274348879,0.141,9.36,Processed,,Unknown,1856.576,T1,,2,1,AS_S3_1,,5546633,0.01,C17H27N3O4S,M+H,N/A,1856.576,N/A,370.1795,370.1795,-.0706 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_2,21548655,295925293,0.073,9.35,Processed,,Unknown,966.265,T1,,3,1,AS_S4_2,,3598096,0.00,C17H27N3O4S,M+H,N/A,966.265,N/A,370.1795,370.1797,.5065 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_2,55347421,279608737,0.198,9.35,Processed,,Unknown,2605.542,T1,,4,1,AS_S3_2,,8973594,0.00,C17H27N3O4S,M+H,N/A,2605.542,N/A,370.1795,370.1799,1.1660 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_3,22223218,267485591,0.083,9.34,Processed,,Unknown,1100.732,T1,,5,1,AS_S4_3,,3427228,-0.01,C17H27N3O4S,M+H,N/A,1100.732,N/A,370.1795,370.1799,1.1660 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_3,56195434,278097155,0.202,9.32,Processed,,Unknown,2659.586,T1,,6,1,AS_S3_3,,8340206,-0.03,C17H27N3O4S,M+H,N/A,2659.586,N/A,370.1795,370.1798,.8363 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_4,96039431,282236518,0.34,9.31,Processed,,Unknown,4470.23,T1,,7,1,AS_S4_4,,17061176,-0.04,C17H27N3O4S,M+H,N/A,4470.23,N/A,370.1795,370.18,1.2485 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_4,116581244,260209140,0.448,9.32,Processed,,Unknown,5881.828,T1,,8,1,AS_S3_4,,17665090,-0.03,C17H27N3O4S,M+H,N/A,5881.828,N/A,370.1795,370.1799,1.0836 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_5,161946143,242001359,0.669,9.34,Processed,,Unknown,8779.281,T1,,9,1,AS_S4_5,,25449512,-0.01,C17H27N3O4S,M+H,N/A,8779.281,N/A,370.1795,370.1795,.0119 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_5,288733903,204376995,1.413,9.33,Processed,,Unknown,18520.458,T1,,10,1,AS_S3_5,,47768436,-0.02,C17H27N3O4S,M+H,N/A,18520.458,N/A,370.1795,370.1797,.4241 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_6,155139868,244627309,0.634,9.32,Processed,,Unknown,8320.668,T1,,11,1,AS_S4_6,,24210872,-0.03,C17H27N3O4S,M+H,N/A,8320.668,N/A,370.1795,370.1797,.5065 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_6,186613192,250070570,0.746,9.32,Processed,,Unknown,9788.657,T1,,12,1,AS_S3_6,,30897726,-0.03,C17H27N3O4S,M+H,N/A,9788.657,N/A,370.1795,370.1797,.4241 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,BF_S4_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,13,1,BF_S4_1,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,BF_S3_1,37580187,278417943,0.135,9.31,Processed,,Unknown,1780.606,T1,,14,1,BF_S3_1,,6476648,-0.04,C17H27N3O4S,M+H,N/A,1780.606,N/A,370.1795,370.1799,1.0012 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,BF_S4_2,18816637,279044341,0.067,9.31,Processed,,Unknown,895.711,T1,,15,1,BF_S4_2,,3266404,-0.04,C17H27N3O4S,M+H,N/A,895.711,N/A,370.1795,370.1796,.3416 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
