Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Chlorotoluron_273_p,16.79,Target Compound,AS_S4_1,N/F,61274896,N/F,N/F,Processed,,Unknown,N/F,T1,,1,1,AS_S4_1,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S3_1,12895552,62592150,0.206,16.81,Processed,,Unknown,893.724,T1,,2,1,AS_S3_1,,2734967,0.02,C10H13ClN2O,M+H,N/A,893.724,N/A,213.0789,213.0788,-.7011 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S4_2,6233861,59840605,0.104,16.8,Processed,,Unknown,461.211,T1,,3,1,AS_S4_2,,1288726,0.01,C10H13ClN2O,M+H,N/A,461.211,N/A,213.0789,213.0788,-.4863 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S3_2,18824933,58194822,0.323,16.81,Processed,,Unknown,1392.507,T1,,4,1,AS_S3_2,,3886452,0.02,C10H13ClN2O,M+H,N/A,1392.507,N/A,213.0789,213.0789,-.1282 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S4_3,7172172,63778454,0.112,16.8,Processed,,Unknown,496.372,T1,,5,1,AS_S4_3,,1585025,0.01,C10H13ClN2O,M+H,N/A,496.372,N/A,213.0789,213.0789,.0150 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S3_3,19988562,59954008,0.333,16.81,Processed,,Unknown,1434.62,T1,,6,1,AS_S3_3,,4232119,0.02,C10H13ClN2O,M+H,N/A,1434.62,N/A,213.0789,213.0787,-.9875 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S4_4,31502979,57453112,0.548,16.79,Processed,,Unknown,2347.315,T1,,7,1,AS_S4_4,,6220851,0.00,C10H13ClN2O,M+H,N/A,2347.315,N/A,213.0789,213.0788,-.4863 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S3_4,45663284,61215967,0.746,16.8,Processed,,Unknown,3186.485,T1,,8,1,AS_S3_4,,9710376,0.01,C10H13ClN2O,M+H,N/A,3186.485,N/A,213.0789,213.0788,-.4863 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S4_5,64957277,58450314,1.111,16.81,Processed,,Unknown,4738.117,T1,,9,1,AS_S4_5,,12723123,0.02,C10H13ClN2O,M+H,N/A,4738.117,N/A,213.0789,213.0788,-.3430 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,16.79,Target Compound,AS_S3_5,140669691,56622065,2.484,16.82,Processed,,Unknown,10568.777,T1,,10,1,AS_S3_5,,30559408,0.03,C10H13ClN2O,M+H,N/A,10568.777,N/A,213.0789,213.0788,-.4863 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
