Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_1,N/F,37897394,N/F,N/F,Processed,,Unknown,N/F,T1,,1,1,AS_S4_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_1,6432444,39503551,0.163,14.71,Processed,,Unknown,1245.391,T1,,2,1,AS_S3_1,,1388580,0.01,C7H15Cl2N2O2P,M+H,N/A,1245.391,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_2,2679547,38332933,0.07,14.73,Processed,,Unknown,540.652,T1,,3,1,AS_S4_2,,598957,0.03,C7H15Cl2N2O2P,M+H,N/A,540.652,N/A,261.0321,261.0318,-1.2688 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_2,8084838,35563453,0.227,14.72,Processed,,Unknown,1734.556,T1,,4,1,AS_S3_2,,1758477,0.02,C7H15Cl2N2O2P,M+H,N/A,1734.556,N/A,261.0321,261.032,-.4504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_3,2855948,36108648,0.079,14.73,Processed,,Unknown,610.354,T1,,5,1,AS_S4_3,,579111,0.03,C7H15Cl2N2O2P,M+H,N/A,610.354,N/A,261.0321,261.032,-.4504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_3,8784789,38817545,0.226,14.72,Processed,,Unknown,1726.777,T1,,6,1,AS_S3_3,,1746935,0.02,C7H15Cl2N2O2P,M+H,N/A,1726.777,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_4,15022258,37733314,0.398,14.71,Processed,,Unknown,3029.681,T1,,7,1,AS_S4_4,,3002002,0.01,C7H15Cl2N2O2P,M+H,N/A,3029.681,N/A,261.0321,261.0318,-1.0350 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_4,19528779,36397688,0.537,14.71,Processed,,Unknown,4079.413,T1,,8,1,AS_S3_4,,3721215,0.01,C7H15Cl2N2O2P,M+H,N/A,4079.413,N/A,261.0321,261.0319,-.9181 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_5,29268514,37586885,0.779,14.72,Processed,,Unknown,5915.771,T1,,9,1,AS_S4_5,,5587939,0.02,C7H15Cl2N2O2P,M+H,N/A,5915.771,N/A,261.0321,261.0318,-1.2688 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_5,55350902,31322859,1.767,14.73,Processed,,Unknown,13411.489,T1,,10,1,AS_S3_5,,11083780,0.03,C7H15Cl2N2O2P,M+H,N/A,13411.489,N/A,261.0321,261.0318,-1.1519 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
