Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Darunavir_3016_p,16.49,Target Compound,AS_S4_1,861181,41027994,0.021,16.5,Processed,,Unknown,267.894,T1,,1,1,AS_S4_1,,191189,0.01,C27H37N3O7S,M+H,N/A,267.894,N/A,548.2425,548.2432,1.2113 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S3_1,9597657,42207927,0.227,16.49,Processed,,Unknown,2716.856,T1,,2,1,AS_S3_1,,1973208,0.00,C27H37N3O7S,M+H,N/A,2716.856,N/A,548.2425,548.2429,.7659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S4_2,5138104,41594490,0.124,16.49,Processed,,Unknown,1484.526,T1,,3,1,AS_S4_2,,1132966,0.00,C27H37N3O7S,M+H,N/A,1484.526,N/A,548.2425,548.2428,.5433 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S3_2,15384650,45452440,0.338,16.5,Processed,,Unknown,4034.93,T1,,4,1,AS_S3_2,,3437556,0.01,C27H37N3O7S,M+H,N/A,4034.93,N/A,548.2425,548.2426,.0980 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S4_3,5397094,39566436,0.136,16.51,Processed,,Unknown,1637.318,T1,,5,1,AS_S4_3,,1196934,0.02,C27H37N3O7S,M+H,N/A,1637.318,N/A,548.2425,548.2426,.0980 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S3_3,14431788,41280110,0.35,16.5,Processed,,Unknown,4166.969,T1,,6,1,AS_S3_3,,3026165,0.01,C27H37N3O7S,M+H,N/A,4166.969,N/A,548.2425,548.2422,-.5700 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S4_4,25069777,41911920,0.598,16.48,Processed,,Unknown,7116.019,T1,,7,1,AS_S4_4,,5441004,-0.01,C27H37N3O7S,M+H,N/A,7116.019,N/A,548.2425,548.2423,-.3473 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S3_4,31664350,42755782,0.741,16.52,Processed,,Unknown,8806,T1,,8,1,AS_S3_4,,6079393,0.03,C27H37N3O7S,M+H,N/A,8806,N/A,548.2425,548.2426,.0980 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S4_5,49642416,45169984,1.099,16.51,Processed,,Unknown,13058.783,T1,,9,1,AS_S4_5,,10601929,0.02,C27H37N3O7S,M+H,N/A,13058.783,N/A,548.2425,548.2422,-.5700 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.49,Target Compound,AS_S3_5,96731292,39041109,2.478,16.51,Processed,,Unknown,29416.82,T1,,10,1,AS_S3_5,,20974668,0.02,C27H37N3O7S,M+H,N/A,29416.82,N/A,548.2425,548.2425,-.0134 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
