Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_1,N/F,15893152,N/F,N/F,Processed,,Unknown,N/F,T1,,1,1,AS_S4_1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_1,1012878,12310499,0.082,8.38,Processed,,Unknown,1110.816,T1,,2,1,AS_S3_1,,71583,-0.07,C8H10FN3O3S,M+H,N/A,1110.816,N/A,248.05,248.0498,-.7280 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_2,621750,14527739,0.043,8.45,Processed,,Unknown,591.448,T1,,3,1,AS_S4_2,,39603,0.00,C8H10FN3O3S,M+H,N/A,591.448,N/A,248.05,248.0498,-.5434 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_2,1886159,14999009,0.126,8.44,Processed,,Unknown,1682.732,T1,,4,1,AS_S3_2,,120356,-0.01,C8H10FN3O3S,M+H,N/A,1682.732,N/A,248.05,248.0498,-.8510 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_3,594923,13531640,0.044,8.43,Processed,,Unknown,606.812,T1,,5,1,AS_S4_3,,42891,-0.02,C8H10FN3O3S,M+H,N/A,606.812,N/A,248.05,248.0499,-.1743 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_3,1766729,13930376,0.127,8.44,Processed,,Unknown,1696.853,T1,,6,1,AS_S3_3,,109889,-0.01,C8H10FN3O3S,M+H,N/A,1696.853,N/A,248.05,248.0499,-.3589 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_4,2995807,14166228,0.211,8.41,Processed,,Unknown,2810.433,T1,,7,1,AS_S4_4,,207028,-0.04,C8H10FN3O3S,M+H,N/A,2810.433,N/A,248.05,248.0498,-.6664 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_4,4120744,12890212,0.32,8.48,Processed,,Unknown,4233.885,T1,,8,1,AS_S3_4,,246445,0.03,C8H10FN3O3S,M+H,N/A,4233.885,N/A,248.05,248.0496,-1.5892 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_5,7123102,16000415,0.445,8.44,Processed,,Unknown,5884.888,T1,,9,1,AS_S4_5,,530292,-0.01,C8H10FN3O3S,M+H,N/A,5884.888,N/A,248.05,248.0497,-1.0355 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_5,14184279,13972623,1.015,8.41,Processed,,Unknown,13382.88,T1,,10,1,AS_S3_5,,859133,-0.04,C8H10FN3O3S,M+H,N/A,13382.88,N/A,248.05,248.0498,-.7280 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
