Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Losartan_2794_p,16.77,Target Compound,AS_S4_1,1877991,33740813,0.056,16.77,Processed,,Unknown,244.548,T1,,1,1,AS_S4_1,,505903,0.00,C22H23ClN6O,M+H,N/A,244.548,N/A,423.1695,423.169,-.9999 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_1,17187683,33723607,0.51,16.77,Processed,,Unknown,2037.463,T1,,2,1,AS_S3_1,,3891858,0.00,C22H23ClN6O,M+H,N/A,2037.463,N/A,423.1695,423.1695,.0097 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S4_2,9251403,32846101,0.282,16.78,Processed,,Unknown,1137.047,T1,,3,1,AS_S4_2,,2147668,0.01,C22H23ClN6O,M+H,N/A,1137.047,N/A,423.1695,423.1692,-.5672 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_2,26279238,33557102,0.783,16.79,Processed,,Unknown,3117.376,T1,,4,1,AS_S3_2,,5509508,0.02,C22H23ClN6O,M+H,N/A,3117.376,N/A,423.1695,423.1695,.0097 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S4_3,9289882,31583971,0.294,16.8,Processed,,Unknown,1186.308,T1,,5,1,AS_S4_3,,2055767,0.03,C22H23ClN6O,M+H,N/A,1186.308,N/A,423.1695,423.1692,-.6393 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_3,26974157,33337508,0.809,16.78,Processed,,Unknown,3220.066,T1,,6,1,AS_S3_3,,6029318,0.01,C22H23ClN6O,M+H,N/A,3220.066,N/A,423.1695,423.1695,.0818 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S4_4,35276690,26484571,1.332,16.79,Processed,,Unknown,5284.855,T1,,7,1,AS_S4_4,,7795806,0.02,C22H23ClN6O,M+H,N/A,5284.855,N/A,423.1695,423.1692,-.7115 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_4,64547239,36458676,1.77,16.8,Processed,,Unknown,7016.348,T1,,8,1,AS_S3_4,,14115763,0.03,C22H23ClN6O,M+H,N/A,7016.348,N/A,423.1695,423.1692,-.6393 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S4_5,69910213,25779082,2.712,16.81,Processed,,Unknown,10734.344,T1,,9,1,AS_S4_5,,15286853,0.04,C22H23ClN6O,M+H,N/A,10734.344,N/A,423.1695,423.1692,-.6393 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_5,188504386,33883868,5.563,16.82,Processed,,Unknown,21994.67,T1,,10,1,AS_S3_5,,42560552,0.05,C22H23ClN6O,M+H,N/A,21994.67,N/A,423.1695,423.1692,-.6393 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S4_6,65782898,27367643,2.404,16.8,Processed,,Unknown,9517.136,T1,,11,1,AS_S4_6,,13625039,0.03,C22H23ClN6O,M+H,N/A,9517.136,N/A,423.1695,423.1692,-.6393 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_6,98389667,33975838,2.896,16.81,Processed,,Unknown,11460.882,T1,,12,1,AS_S3_6,,21714762,0.04,C22H23ClN6O,M+H,N/A,11460.882,N/A,423.1695,423.1692,-.5672 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S4_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,13,1,BF_S4_1,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S3_1,5421572,12128385,0.447,16.82,Processed,,Unknown,1790.058,T1,,14,1,BF_S3_1,,1191414,0.05,C22H23ClN6O,M+H,N/A,1790.058,N/A,423.1695,423.1689,-1.2163 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S4_2,3382216,15519930,0.218,16.83,Processed,,Unknown,885.363,T1,,15,1,BF_S4_2,,807080,0.06,C22H23ClN6O,M+H,N/A,885.363,N/A,423.1695,423.1687,-1.7211 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S3_2,8826229,13359055,0.661,16.82,Processed,,Unknown,2633.896,T1,,16,1,BF_S3_2,,1754537,0.05,C22H23ClN6O,M+H,N/A,2633.896,N/A,423.1695,423.1689,-1.2163 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S4_3,3483366,15797985,0.22,16.82,Processed,,Unknown,895.501,T1,,17,1,BF_S4_3,,753551,0.05,C22H23ClN6O,M+H,N/A,895.501,N/A,423.1695,423.169,-.9999 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S3_3,7583190,11935968,0.635,16.82,Processed,,Unknown,2533.706,T1,,18,1,BF_S3_3,,1584460,0.05,C22H23ClN6O,M+H,N/A,2533.706,N/A,423.1695,423.1688,-1.5769 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S4_4,19800279,16599411,1.193,16.84,Processed,,Unknown,4735.37,T1,,19,1,BF_S4_4,,4119631,0.07,C22H23ClN6O,M+H,N/A,4735.37,N/A,423.1695,423.169,-1.1442 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S3_4,21140628,12808678,1.65,16.84,Processed,,Unknown,6542.733,T1,,20,1,BF_S3_4,,4703858,0.07,C22H23ClN6O,M+H,N/A,6542.733,N/A,423.1695,423.169,-1.1442 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S4_5,40198656,15111816,2.66,16.8,Processed,,Unknown,10529.717,T1,,21,1,BF_S4_5,,8896040,0.03,C22H23ClN6O,M+H,N/A,10529.717,N/A,423.1695,423.1691,-.8557 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S3_5,42214207,14570891,2.897,16.78,Processed,,Unknown,11465.971,T1,,22,1,BF_S3_5,,9744818,0.01,C22H23ClN6O,M+H,N/A,11465.971,N/A,423.1695,423.1692,-.7115 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S4_6,33611888,13163085,2.553,16.81,Processed,,Unknown,10108.801,T1,,23,1,BF_S4_6,,7274550,0.04,C22H23ClN6O,M+H,N/A,10108.801,N/A,423.1695,423.1689,-1.2163 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,BF_S3_6,39948366,14622855,2.732,16.8,Processed,,Unknown,10813.389,T1,,24,1,BF_S3_6,,8913812,0.03,C22H23ClN6O,M+H,N/A,10813.389,N/A,423.1695,423.1691,-.9278 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,25,1,012_blankEvian_2,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,013_blind_ISTD4,N/F,70928841,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,26,1,013_blind_ISTD4,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,014_Cali025_ISTD4,1402064,74613765,0.019,16.69,Processed,0.24,Cal Std,98.95,T1,,27,1,014_Cali025_ISTD4,,126145,-0.08,C22H23ClN6O,M+H,101.32,98.95,N/A,423.1695,423.1693,-.3509 (ppm),0,Method,True,False,-2.34,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,015_Cali05_ISTD4,3309292,72034525,0.046,16.72,Processed,0.48,Cal Std,206.166,T1,,28,1,015_Cali05_ISTD4,,335417,-0.05,C22H23ClN6O,M+H,202.64,206.166,N/A,423.1695,423.1691,-.9278 (ppm),0,Method,True,False,1.74,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,016_Cali1_ISTD4,6264138,64593521,0.097,16.77,Processed,0.96,Cal Std,407.719,T1,,29,1,016_Cali1_ISTD4,,459909,0.00,C22H23ClN6O,M+H,405.28,407.719,N/A,423.1695,423.1691,-.8557 (ppm),0,Method,True,False,0.6,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,017_Cali3_ISTD4,20632768,74004042,0.279,16.68,Processed,2.88,Cal Std,1125.78,T1,,30,1,017_Cali3_ISTD4,,1591486,-0.09,C22H23ClN6O,M+H,1215.83,1125.78,N/A,423.1695,423.1689,-1.3605 (ppm),0,Method,True,False,-7.41,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,018_Cali5_ISTD4,32981569,70317843,0.469,16.72,Processed,4.8,Cal Std,1877.019,T1,,31,1,018_Cali5_ISTD4,,2597472,-0.05,C22H23ClN6O,M+H,2026.38,1877.019,N/A,423.1695,423.1691,-.9278 (ppm),0,Method,True,False,-7.37,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,019_Cali8_ISTD4,48046686,57786112,0.831,16.71,Processed,7.68,Cal Std,3308.266,T1,,32,1,019_Cali8_ISTD4,,3780272,-0.06,C22H23ClN6O,M+H,3242.21,3308.266,N/A,423.1695,423.1691,-.7836 (ppm),0,Method,True,False,2.04,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,020_Cali10_ISTD4,66142135,56865002,1.163,16.74,Processed,9.6,Cal Std,4618.132,T1,,33,1,020_Cali10_ISTD4,,4708806,-0.03,C22H23ClN6O,M+H,4052.76,4618.132,N/A,423.1695,423.1691,-.9278 (ppm),0,Method,True,False,13.95,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,021_Cali20_ISTD4,141946269,68523314,2.072,16.74,Processed,19.2,Cal Std,8205.354,T1,,34,1,021_Cali20_ISTD4,,10732792,-0.03,C22H23ClN6O,M+H,8105.51,8205.354,N/A,423.1695,423.1689,-1.2163 (ppm),0,Method,True,False,1.23,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,022_Cali50_ISTD4,337720093,67550893,4.999,16.71,Processed,48,Cal Std,19768.324,T1,,35,1,022_Cali50_ISTD4,,25008586,-0.06,C22H23ClN6O,M+H,20263.78,19768.324,N/A,423.1695,423.1688,-1.5047 (ppm),0,Method,True,False,-2.45,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
