Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Neotam_2815_p,15.85,Target Compound,AS_S4_1,308714,70173604,0.004,15.87,Processed,,Unknown,17.117,T1,,1,1,AS_S4_1,,53261,0.02,C20H30N2O5,M+H,N/A,17.117,N/A,379.2228,379.2223,-1.2934 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S3_1,32188050,69426330,0.464,15.87,Processed,,Unknown,1764.902,T1,,2,1,AS_S3_1,,6406905,0.02,C20H30N2O5,M+H,N/A,1764.902,N/A,379.2228,379.2227,-.1667 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S4_2,17425963,73499906,0.237,15.85,Processed,,Unknown,902.71,T1,,3,1,AS_S4_2,,3805882,0.00,C20H30N2O5,M+H,N/A,902.71,N/A,379.2228,379.2227,-.2472 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S3_2,52381220,72940403,0.718,15.86,Processed,,Unknown,2733.537,T1,,4,1,AS_S3_2,,9744092,0.01,C20H30N2O5,M+H,N/A,2733.537,N/A,379.2228,379.2226,-.4886 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S4_3,18542736,69106043,0.268,15.87,Processed,,Unknown,1021.586,T1,,5,1,AS_S4_3,,3379408,0.02,C20H30N2O5,M+H,N/A,1021.586,N/A,379.2228,379.2227,-.0058 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S3_3,50831714,71410662,0.712,15.85,Processed,,Unknown,2709.504,T1,,6,1,AS_S3_3,,10206857,0.00,C20H30N2O5,M+H,N/A,2709.504,N/A,379.2228,379.2227,-.0863 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S4_4,91747836,77550944,1.183,15.85,Processed,,Unknown,4503.011,T1,,7,1,AS_S4_4,,19233366,0.00,C20H30N2O5,M+H,N/A,4503.011,N/A,379.2228,379.2225,-.7301 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S3_4,116540756,71604431,1.628,15.88,Processed,,Unknown,6194.729,T1,,8,1,AS_S3_4,,22364308,0.03,C20H30N2O5,M+H,N/A,6194.729,N/A,379.2228,379.2225,-.7301 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S4_5,185852568,77001316,2.414,15.87,Processed,,Unknown,9186.42,T1,,9,1,AS_S4_5,,38144816,0.02,C20H30N2O5,M+H,N/A,9186.42,N/A,379.2228,379.2226,-.3277 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S3_5,365773117,69633792,5.253,15.89,Processed,,Unknown,19992.084,T1,,10,1,AS_S3_5,,70992328,0.04,C20H30N2O5,M+H,N/A,19992.084,N/A,379.2228,379.2227,-.2472 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
