Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Primidon_195_p,13.19,Target Compound,AS_S4_1,N/F,15850571,N/F,N/F,Processed,,Unknown,N/F,T1,,1,1,AS_S4_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_1,3465813,16331822,0.212,13.2,Processed,,Unknown,1417.977,T1,,2,1,AS_S3_1,,631347,0.01,C12H14N2O2,M+H,N/A,1417.977,N/A,219.1128,219.1127,-.2410 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_2,1652931,18055946,0.092,13.18,Processed,,Unknown,624.153,T1,,3,1,AS_S4_2,,318714,-0.01,C12H14N2O2,M+H,N/A,624.153,N/A,219.1128,219.1128,.1768 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_2,4556600,16708713,0.273,13.18,Processed,,Unknown,1815.955,T1,,4,1,AS_S3_2,,978667,-0.01,C12H14N2O2,M+H,N/A,1815.955,N/A,219.1128,219.1128,-.1017 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_3,1980178,18945776,0.105,13.19,Processed,,Unknown,709.498,T1,,5,1,AS_S4_3,,350305,0.00,C12H14N2O2,M+H,N/A,709.498,N/A,219.1128,219.1127,-.2410 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_3,4665563,17579572,0.265,13.18,Processed,,Unknown,1767.858,T1,,6,1,AS_S3_3,,976751,-0.01,C12H14N2O2,M+H,N/A,1767.858,N/A,219.1128,219.1128,-.1714 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_4,6924408,17265209,0.401,13.18,Processed,,Unknown,2660.343,T1,,7,1,AS_S4_4,,1318173,-0.01,C12H14N2O2,M+H,N/A,2660.343,N/A,219.1128,219.1128,-.1714 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_4,9927406,17460022,0.569,13.18,Processed,,Unknown,3762.379,T1,,8,1,AS_S3_4,,1741304,-0.01,C12H14N2O2,M+H,N/A,3762.379,N/A,219.1128,219.1128,.0375 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_5,13418281,16060130,0.836,13.2,Processed,,Unknown,5518.367,T1,,9,1,AS_S4_5,,2654146,0.01,C12H14N2O2,M+H,N/A,5518.367,N/A,219.1128,219.1128,-.1714 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_5,25168818,14630169,1.72,13.19,Processed,,Unknown,11339.354,T1,,10,1,AS_S3_5,,4923775,0.00,C12H14N2O2,M+H,N/A,11339.354,N/A,219.1128,219.1129,.3161 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_6,13237293,16976813,0.78,13.18,Processed,,Unknown,5151.445,T1,,11,1,AS_S4_6,,2387495,-0.01,C12H14N2O2,M+H,N/A,5151.445,N/A,219.1128,219.1128,.1768 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_6,15001431,16561206,0.906,13.2,Processed,,Unknown,5980.942,T1,,12,1,AS_S3_6,,3110585,0.01,C12H14N2O2,M+H,N/A,5980.942,N/A,219.1128,219.1128,.1768 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,BF_S4_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,13,1,BF_S4_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,BF_S3_1,3376119,21525837,0.157,13.22,Processed,,Unknown,1053.706,T1,,14,1,BF_S3_1,,617540,0.03,C12H14N2O2,M+H,N/A,1053.706,N/A,219.1128,219.1128,-.0321 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,BF_S4_2,1578980,21114484,0.075,13.18,Processed,,Unknown,513.874,T1,,15,1,BF_S4_2,,322969,-0.01,C12H14N2O2,M+H,N/A,513.874,N/A,219.1128,219.1126,-1.0070 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,BF_S3_2,4931577,20427404,0.241,13.16,Processed,,Unknown,1610.121,T1,,16,1,BF_S3_2,,1063709,-0.03,C12H14N2O2,M+H,N/A,1610.121,N/A,219.1128,219.1127,-.5892 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,BF_S4_3,1547534,20193799,0.077,13.18,Processed,,Unknown,526.06,T1,,17,1,BF_S4_3,,321933,-0.01,C12H14N2O2,M+H,N/A,526.06,N/A,219.1128,219.1127,-.3803 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,BF_S3_3,4904449,21319215,0.23,13.17,Processed,,Unknown,1535.313,T1,,18,1,BF_S3_3,,914162,-0.02,C12H14N2O2,M+H,N/A,1535.313,N/A,219.1128,219.1127,-.5892 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
