Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Tramadol_2567_p,11.21,Target Compound,AS_S4_1,18267361,283632154,0.064,11,Processed,,Unknown,647.587,T1,,1,1,AS_S4_1,,1656468,-0.21,C16H25NO2,M+H,N/A,647.587,N/A,264.1958,264.1957,-.2659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S3_1,53733393,309437227,0.174,11.2,Processed,,Unknown,1723.763,T1,,2,1,AS_S3_1,,7045443,-0.01,C16H25NO2,M+H,N/A,1723.763,N/A,264.1958,264.1957,-.2659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S4_2,32876067,286137604,0.115,11.21,Processed,,Unknown,1144.981,T1,,3,1,AS_S4_2,,3892872,0.00,C16H25NO2,M+H,N/A,1144.981,N/A,264.1958,264.1958,.0806 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S3_2,66465911,278666140,0.239,11.21,Processed,,Unknown,2362.766,T1,,4,1,AS_S3_2,,9780634,0.00,C16H25NO2,M+H,N/A,2362.766,N/A,264.1958,264.1959,.1961 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S4_3,35473543,274597745,0.129,11.17,Processed,,Unknown,1285.731,T1,,5,1,AS_S4_3,,3907921,-0.04,C16H25NO2,M+H,N/A,1285.731,N/A,264.1958,264.1957,-.4969 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S3_3,68489950,292052832,0.235,11.18,Processed,,Unknown,2323.338,T1,,6,1,AS_S3_3,,9427944,-0.03,C16H25NO2,M+H,N/A,2323.338,N/A,264.1958,264.1958,-.1504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S4_4,100397398,272427669,0.369,11.14,Processed,,Unknown,3643.555,T1,,7,1,AS_S4_4,,13427714,-0.07,C16H25NO2,M+H,N/A,3643.555,N/A,264.1958,264.1956,-.9590 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S3_4,133398841,285402294,0.467,11.17,Processed,,Unknown,4617.615,T1,,8,1,AS_S3_4,,23765264,-0.04,C16H25NO2,M+H,N/A,4617.615,N/A,264.1958,264.1957,-.3814 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S4_5,176935205,265666780,0.666,11.17,Processed,,Unknown,6574.034,T1,,9,1,AS_S4_5,,26854040,-0.04,C16H25NO2,M+H,N/A,6574.034,N/A,264.1958,264.1956,-.6124 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S3_5,318619838,239401607,1.331,11.18,Processed,,Unknown,13124.035,T1,,10,1,AS_S3_5,,51192156,-0.03,C16H25NO2,M+H,N/A,13124.035,N/A,264.1958,264.1958,-.0349 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S4_6,168978115,272901921,0.619,11.15,Processed,,Unknown,6112.858,T1,,11,1,AS_S4_6,,25568152,-0.06,C16H25NO2,M+H,N/A,6112.858,N/A,264.1958,264.1957,-.4969 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S3_6,191115166,257470444,0.742,11.17,Processed,,Unknown,7325.438,T1,,12,1,AS_S3_6,,27661374,-0.04,C16H25NO2,M+H,N/A,7325.438,N/A,264.1958,264.1957,-.3814 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
