Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Trimipramin_2861_p,15.18,Target Compound,AS_S4_1,1823094,24178423,0.075,15.18,Processed,,Unknown,168.643,T1,,1,1,AS_S4_1,,363805,0.00,C20H26N2,M+H,N/A,168.643,N/A,295.2169,295.2173,1.5791 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S3_1,16411422,26732308,0.614,15.2,Processed,,Unknown,300.433,T1,,2,1,AS_S3_1,,2158799,0.02,C20H26N2,M+H,N/A,300.433,N/A,295.2169,295.2172,1.0623 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S4_2,8684709,27769484,0.313,15.18,Processed,,Unknown,226.727,T1,,3,1,AS_S4_2,,1218310,0.00,C20H26N2,M+H,N/A,226.727,N/A,295.2169,295.2171,.7522 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S3_2,24266184,27000620,0.899,15.15,Processed,,Unknown,370.134,T1,,4,1,AS_S3_2,,3142577,-0.03,C20H26N2,M+H,N/A,370.134,N/A,295.2169,295.2169,.2353 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S4_3,8384226,23740402,0.353,15.15,Processed,,Unknown,236.619,T1,,5,1,AS_S4_3,,1194760,-0.03,C20H26N2,M+H,N/A,236.619,N/A,295.2169,295.2169,.2353 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S3_3,26566311,28628545,0.928,15.15,Processed,,Unknown,377.29,T1,,6,1,AS_S3_3,,3667429,-0.03,C20H26N2,M+H,N/A,377.29,N/A,295.2169,295.2171,.6488 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S4_4,33052616,22857747,1.446,15.11,Processed,,Unknown,504.071,T1,,7,1,AS_S4_4,,4553918,-0.07,C20H26N2,M+H,N/A,504.071,N/A,295.2169,295.2168,-.2816 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S3_4,58807280,28506788,2.063,15.11,Processed,,Unknown,655.046,T1,,8,1,AS_S3_4,,8392443,-0.07,C20H26N2,M+H,N/A,655.046,N/A,295.2169,295.2168,-.1782 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S4_5,65821959,22118303,2.976,15.09,Processed,,Unknown,878.479,T1,,9,1,AS_S4_5,,9449604,-0.09,C20H26N2,M+H,N/A,878.479,N/A,295.2169,295.2167,-.6951 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S3_5,153298166,23188659,6.611,15.11,Processed,,Unknown,1768.07,T1,,10,1,AS_S3_5,,20286558,-0.07,C20H26N2,M+H,N/A,1768.07,N/A,295.2169,295.2167,-.5917 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
