Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Amisulprid_2852_p,9.35,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,blindEvian_1,N/F,109820430,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,Cal5_1,42782265,90946106,0.47,9.36,Processed,,Unknown,4444.333,T1,,4,1,Cal5_1,,6078246,0.01,C17H27N3O4S,M+H,N/A,4444.333,N/A,370.1795,370.1795,.0119 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,blindEvian_2,N/F,93199935,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,blindEvian_3,N/F,93987042,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_blank1,N/F,98731,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_blank2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S5_1,4137351,234544643,0.018,9.34,Processed,,Unknown,182.061,T1,,9,1,AS_S5_1,,730788,-0.01,C17H27N3O4S,M+H,N/A,182.061,N/A,370.1795,370.1798,.7538 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_1,4711041,298399597,0.016,9.34,Processed,,Unknown,164.625,T1,,10,1,AS_S4_1,,782184,-0.01,C17H27N3O4S,M+H,N/A,164.625,N/A,370.1795,370.1797,.5890 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_1,38621864,274348879,0.141,9.36,Processed,,Unknown,1341.231,T1,,11,1,AS_S3_1,,5546633,0.01,C17H27N3O4S,M+H,N/A,1341.231,N/A,370.1795,370.1795,-.0706 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S2_1,43406926,240498475,0.18,9.35,Processed,,Unknown,1715.057,T1,,12,1,AS_S2_1,,6853860,0.00,C17H27N3O4S,M+H,N/A,1715.057,N/A,370.1795,370.1797,.5890 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S1_1,36312203,236375914,0.154,9.33,Processed,,Unknown,1462.142,T1,,13,1,AS_S1_1,,5456904,-0.02,C17H27N3O4S,M+H,N/A,1462.142,N/A,370.1795,370.1796,.3416 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,Cal5_2,43286742,94577588,0.458,9.34,Processed,,Unknown,4324.512,T1,,14,1,Cal5_2,,6747799,-0.01,C17H27N3O4S,M+H,N/A,4324.512,N/A,370.1795,370.1796,.1768 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S5_2,20218555,229817406,0.088,9.34,Processed,,Unknown,844.189,T1,,15,1,AS_S5_2,,3399387,-0.01,C17H27N3O4S,M+H,N/A,844.189,N/A,370.1795,370.1798,.7538 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_2,21548655,295925293,0.073,9.35,Processed,,Unknown,701.49,T1,,16,1,AS_S4_2,,3598096,0.00,C17H27N3O4S,M+H,N/A,701.49,N/A,370.1795,370.1797,.5065 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_2,55347421,279608737,0.198,9.35,Processed,,Unknown,1879.407,T1,,17,1,AS_S3_2,,8973594,0.00,C17H27N3O4S,M+H,N/A,1879.407,N/A,370.1795,370.1799,1.1660 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S2_2,50664772,227190489,0.223,9.34,Processed,,Unknown,2115.312,T1,,18,1,AS_S2_2,,8145384,-0.01,C17H27N3O4S,M+H,N/A,2115.312,N/A,370.1795,370.1798,.7538 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S1_2,47167656,215935672,0.218,9.33,Processed,,Unknown,2072.274,T1,,19,1,AS_S1_2,,8238982,-0.02,C17H27N3O4S,M+H,N/A,2072.274,N/A,370.1795,370.1798,.9187 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S5_3,19998896,240744897,0.083,9.34,Processed,,Unknown,798.008,T1,,20,1,AS_S5_3,,3314000,-0.01,C17H27N3O4S,M+H,N/A,798.008,N/A,370.1795,370.1797,.5890 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S4_3,22223218,267485591,0.083,9.34,Processed,,Unknown,798.112,T1,,21,1,AS_S4_3,,3427228,-0.01,C17H27N3O4S,M+H,N/A,798.112,N/A,370.1795,370.1799,1.1660 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S3_3,56195434,278097155,0.202,9.32,Processed,,Unknown,1918.241,T1,,22,1,AS_S3_3,,8340206,-0.03,C17H27N3O4S,M+H,N/A,1918.241,N/A,370.1795,370.1798,.8363 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S2_3,55382048,234210700,0.236,9.34,Processed,,Unknown,2241.99,T1,,23,1,AS_S2_3,,9771807,-0.01,C17H27N3O4S,M+H,N/A,2241.99,N/A,370.1795,370.1797,.6714 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,AS_S1_3,46950251,209725021,0.224,9.32,Processed,,Unknown,2123.408,T1,,24,1,AS_S1_3,,7733912,-0.03,C17H27N3O4S,M+H,N/A,2123.408,N/A,370.1795,370.1798,.8363 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
