Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Apixaban_p,15.53,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C25H25N5O4,N/A,N/A,N/F,N/A,460.1979,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C25H25N5O4,N/A,N/A,N/F,N/A,460.1979,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C25H25N5O4,N/A,N/A,N/F,N/A,460.1979,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,Cal5_1,9621427,N/A,0,15.51,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,2078794,-0.02,C25H25N5O4,M+H,N/A,N/A,N/A,460.1979,460.1975,-.8480 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C25H25N5O4,N/A,N/A,N/F,N/A,460.1979,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C25H25N5O4,N/A,N/A,N/F,N/A,460.1979,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,AS_blank1,465642,N/A,0,15.52,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,113363,-0.01,C25H25N5O4,M+H,N/A,N/A,N/A,460.1979,460.1981,.4783 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,AS_blank2,535508,N/A,0,15.53,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,115329,0.00,C25H25N5O4,M+H,N/A,N/A,N/A,460.1979,460.1989,2.2025 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,AS_S5_1,464051,N/A,0,15.51,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,125794,-0.02,C25H25N5O4,M+H,N/A,N/A,N/A,460.1979,460.1979,.0141 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,AS_S4_1,467605,N/A,0,15.5,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,135753,-0.03,C25H25N5O4,M+H,N/A,N/A,N/A,460.1979,460.1979,-.0522 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
