Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Apremilast_p,16.33,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,Cal5_1,1672688,N/A,0,16.33,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,348573,0.00,C22H24N2O7S,M+H,N/A,N/A,N/A,461.1377,461.1375,-.5396 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_blank1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_blank2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_S4_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_S3_1,2252254,N/A,0,16.33,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,524262,0.00,C22H24N2O7S,M+H,N/A,N/A,N/A,461.1377,461.1375,-.4734 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_S2_1,1953343,N/A,0,16.34,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,423558,0.01,C22H24N2O7S,M+H,N/A,N/A,N/A,461.1377,461.1376,-.1425 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_S1_1,1678279,N/A,0,16.35,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,369923,0.02,C22H24N2O7S,M+H,N/A,N/A,N/A,461.1377,461.137,-1.5323 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,Cal5_2,1424182,N/A,0,16.33,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,298427,0.00,C22H24N2O7S,M+H,N/A,N/A,N/A,461.1377,461.1378,.1884 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Apremilast_p,16.33,Target Compound,AS_S5_2,783888,N/A,0,16.34,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,195091,0.01,C22H24N2O7S,M+H,N/A,N/A,N/A,461.1377,461.137,-1.5323 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
