Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,Cal5_1,1395359,N/A,0,19.16,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,283798,-0.01,C14H12O3,M+H,N/A,N/A,N/A,229.0859,229.0859,.0098 (ppm),0,Method,True,False,N/A,N/A,N/A,,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,blindEvian_2,42321,N/A,0,19.18,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,12840,0.01,C14H12O3,M+H,N/A,N/A,N/A,229.0859,229.0859,-.0568 (ppm),0,Method,True,False,N/A,N/A,N/A,,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,AS_blank1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,AS_blank2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.17,Target Compound,AS_S4_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
