Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Bupropion_2803_p,12.55,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C13H18ClNO,N/A,N/A,N/F,N/A,240.115,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C13H18ClNO,N/A,N/A,N/F,N/A,240.115,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C13H18ClNO,N/A,N/A,N/F,N/A,240.115,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,Cal5_1,23905498,N/A,0,12.59,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,3139372,0.04,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1148,-.8689 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,blindEvian_2,315681,N/A,0,12.54,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,50839,-0.01,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1148,-.7419 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,blindEvian_3,207241,N/A,0,12.54,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,37890,-0.01,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.1064 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_blank1,1365855,N/A,0,12.52,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,218096,-0.03,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.115,.0207 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_blank2,1543275,N/A,0,12.54,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,247161,-0.01,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.4877 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S5_1,1743077,N/A,0,12.53,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,343695,-0.02,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.1064 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S4_1,1295270,N/A,0,12.51,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,214211,-0.04,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.115,-.0428 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S3_1,7715968,N/A,0,12.53,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,1202776,-0.02,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.115,.2749 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S2_1,7145858,N/A,0,12.54,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,1129043,-0.01,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.2335 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S1_1,18145240,N/A,0,12.53,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,2876397,-0.02,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1148,-.5512 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,Cal5_2,25298660,N/A,0,12.52,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,4224930,-0.03,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1148,-.8054 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S5_2,9362109,N/A,0,12.5,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,1387019,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.115,.0207 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S4_2,4483120,N/A,0,12.5,Processed,,Unknown,N/A,T1,,16,1,AS_S4_2,,782112,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.4241 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S3_2,9841355,N/A,0,12.52,Processed,,Unknown,N/A,T1,,17,1,AS_S3_2,,1371278,-0.03,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1151,.4020 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S2_2,14574791,N/A,0,12.5,Processed,,Unknown,N/A,T1,,18,1,AS_S2_2,,2099058,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.1699 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S1_2,27717084,N/A,0,12.5,Processed,,Unknown,N/A,T1,,19,1,AS_S1_2,,4941013,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.1064 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S5_3,8999046,N/A,0,12.51,Processed,,Unknown,N/A,T1,,20,1,AS_S5_3,,1270395,-0.04,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.1064 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S4_3,4542931,N/A,0,12.5,Processed,,Unknown,N/A,T1,,21,1,AS_S4_3,,745267,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.3606 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S3_3,12065892,N/A,0,12.48,Processed,,Unknown,N/A,T1,,22,1,AS_S3_3,,1772506,-0.07,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.4877 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S2_3,14992334,N/A,0,12.5,Processed,,Unknown,N/A,T1,,23,1,AS_S2_3,,2425764,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.1064 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,AS_S1_3,25406193,N/A,0,12.49,Processed,,Unknown,N/A,T1,,24,1,AS_S1_3,,4076815,-0.06,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.115,.0207 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,Cal8_2,40409829,N/A,0,12.5,Processed,,Unknown,N/A,T1,,25,1,Cal8_2,,5767812,-0.05,C13H18ClNO,M+H,N/A,N/A,N/A,240.115,240.1149,-.4877 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
