Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Clomipramine_3669_p,15.8,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,Cal5_1,41229867,N/A,0,15.84,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,5349595,0.04,C19H23ClN2,M+H,N/A,N/A,N/A,315.1623,315.1619,-1.0272 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,blindEvian_2,1969928,N/A,0,15.83,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,272032,0.03,C19H23ClN2,M+H,N/A,N/A,N/A,315.1623,315.1623,.1348 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,blindEvian_3,609844,N/A,0,15.84,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,91410,0.04,C19H23ClN2,M+H,N/A,N/A,N/A,315.1623,315.1623,.0380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,AS_blank1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,AS_blank2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.8,Target Compound,AS_S4_1,1828802,N/A,0,15.72,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,307354,-0.08,C19H23ClN2,M+H,N/A,N/A,N/A,315.1623,315.1631,2.6524 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
