Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Codein_2780_p,8.09,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C18H21NO3,N/A,N/A,N/F,N/A,300.1594,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C18H21NO3,N/A,N/A,N/F,N/A,300.1594,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,blindEvian_1,N/F,18491222,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C18H21NO3,N/A,N/A,N/F,N/A,300.1594,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,Cal5_1,20872115,16534522,1.262,8.1,Processed,,Unknown,3383.937,T1,,4,1,Cal5_1,,3763319,0.01,C18H21NO3,M+H,N/A,3383.937,N/A,300.1594,300.1589,-1.8173 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,blindEvian_2,34678,13265050,0.003,8.12,Processed,,Matrix Blank,20.066,T1,,5,1,blindEvian_2,,11861,0.03,C18H21NO3,M+H,N/A,20.066,N/A,300.1594,300.1593,-.4956 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 20.066 > blank evaluation value 0
Codein_2780_p,8.09,Target Compound,blindEvian_3,50217,15478547,0.003,8.08,Processed,,Matrix Blank,21.749,T1,,6,1,blindEvian_3,,12331,-0.01,C18H21NO3,M+H,N/A,21.749,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 21.749 > blank evaluation value 0
Codein_2780_p,8.09,Target Compound,AS_blank1,2698608,N/F,0,8.11,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,519264,0.02,C18H21NO3,M+H,N/A,N/A,N/A,300.1594,300.1594,-.0889 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_blank2,2494264,N/F,0,8.1,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,477202,0.01,C18H21NO3,M+H,N/A,N/A,N/A,300.1594,300.1592,-.6989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S5_1,2189604,44904067,0.049,8.08,Processed,,Unknown,143.295,T1,,9,1,AS_S5_1,,436648,-0.01,C18H21NO3,M+H,N/A,143.295,N/A,300.1594,300.1593,-.3939 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S4_1,2305004,46698832,0.049,8.07,Processed,,Unknown,144.89,T1,,10,1,AS_S4_1,,425992,-0.02,C18H21NO3,M+H,N/A,144.89,N/A,300.1594,300.1593,-.4956 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,AS_S3_1,16451775,41287245,0.398,8.09,Processed,,Unknown,1077.134,T1,,11,1,AS_S3_1,,2770598,0.00,C18H21NO3,M+H,N/A,1077.134,N/A,300.1594,300.1591,-.9023 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
