Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Cyclophosphamid_2579_p,14.7,Target Compound,blankNP_1,N/F,163404,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,blankEvian_1,N/F,281312,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,blindEvian_1,N/F,11956712,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,Cal5_1,6348013,11193599,0.567,14.72,Processed,,Unknown,3215.553,T1,,4,1,Cal5_1,,1343743,0.02,C7H15Cl2N2O2P,M+H,N/A,3215.553,N/A,261.0321,261.032,-.4504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,blindEvian_2,N/F,9400663,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,blindEvian_3,N/F,10581843,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_blank1,N/F,404553,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_blank2,N/F,453733,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S5_1,N/F,31139493,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_1,N/F,37897394,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_1,6432444,39503551,0.163,14.71,Processed,,Unknown,929.702,T1,,11,1,AS_S3_1,,1388580,0.01,C7H15Cl2N2O2P,M+H,N/A,929.702,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S2_1,5969606,30544824,0.195,14.72,Processed,,Unknown,1114.058,T1,,12,1,AS_S2_1,,1159782,0.02,C7H15Cl2N2O2P,M+H,N/A,1114.058,N/A,261.0321,261.0318,-1.0350 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S1_1,5043498,33806559,0.149,14.71,Processed,,Unknown,852.551,T1,,13,1,AS_S1_1,,969989,0.01,C7H15Cl2N2O2P,M+H,N/A,852.551,N/A,261.0321,261.0316,-1.8534 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,Cal5_2,6517086,12037414,0.541,14.72,Processed,,Unknown,3070.193,T1,,14,1,Cal5_2,,1261311,0.02,C7H15Cl2N2O2P,M+H,N/A,3070.193,N/A,261.0321,261.032,-.5673 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S5_2,2167141,29190366,0.074,14.69,Processed,,Unknown,428.799,T1,,15,1,AS_S5_2,,571702,-0.01,C7H15Cl2N2O2P,M+H,N/A,428.799,N/A,261.0321,261.0316,-1.7365 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_2,2679547,38332933,0.07,14.73,Processed,,Unknown,404.262,T1,,16,1,AS_S4_2,,598957,0.03,C7H15Cl2N2O2P,M+H,N/A,404.262,N/A,261.0321,261.0318,-1.2688 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_2,8084838,35563453,0.227,14.72,Processed,,Unknown,1294.414,T1,,17,1,AS_S3_2,,1758477,0.02,C7H15Cl2N2O2P,M+H,N/A,1294.414,N/A,261.0321,261.032,-.4504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S2_2,7722682,32168438,0.24,14.7,Processed,,Unknown,1366.417,T1,,18,1,AS_S2_2,,1581598,0.00,C7H15Cl2N2O2P,M+H,N/A,1366.417,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S1_2,6435341,29089028,0.221,14.7,Processed,,Unknown,1259.888,T1,,19,1,AS_S1_2,,1300294,0.00,C7H15Cl2N2O2P,M+H,N/A,1259.888,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S5_3,2039471,30344003,0.067,14.7,Processed,,Unknown,389.051,T1,,20,1,AS_S5_3,,461614,0.00,C7H15Cl2N2O2P,M+H,N/A,389.051,N/A,261.0321,261.0317,-1.5026 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S4_3,2855948,36108648,0.079,14.73,Processed,,Unknown,456.231,T1,,21,1,AS_S4_3,,579111,0.03,C7H15Cl2N2O2P,M+H,N/A,456.231,N/A,261.0321,261.032,-.4504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S3_3,8784789,38817545,0.226,14.72,Processed,,Unknown,1288.614,T1,,22,1,AS_S3_3,,1746935,0.02,C7H15Cl2N2O2P,M+H,N/A,1288.614,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S2_3,8034971,30738494,0.261,14.71,Processed,,Unknown,1487.006,T1,,23,1,AS_S2_3,,1524773,0.01,C7H15Cl2N2O2P,M+H,N/A,1487.006,N/A,261.0321,261.0318,-1.1519 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S1_3,6987698,29459300,0.237,14.69,Processed,,Unknown,1350.18,T1,,24,1,AS_S1_3,,1488889,-0.01,C7H15Cl2N2O2P,M+H,N/A,1350.18,N/A,261.0321,261.0318,-1.0350 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,Cal8_2,11922002,12342289,0.966,14.72,Processed,,Unknown,5470.631,T1,,25,1,Cal8_2,,2370837,0.02,C7H15Cl2N2O2P,M+H,N/A,5470.631,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,14.7,Target Compound,AS_S5_4,11307123,29170700,0.388,14.7,Processed,,Unknown,2200.681,T1,,26,1,AS_S5_4,,2386132,0.00,C7H15Cl2N2O2P,M+H,N/A,2200.681,N/A,261.0321,261.0318,-1.0350 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
