Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Dextromethorphan_2824_p,13.56,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,blindEvian_1,N/F,25751457,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,Cal5_1,66381599,23554985,2.818,13.59,Processed,,Unknown,3291.566,T1,,4,1,Cal5_1,,8166079,0.03,C18H25NO,M+H,N/A,3291.566,N/A,272.2009,272.2005,-1.4310 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,blindEvian_2,N/F,21909561,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C18H25NO,M+H,N/A,N/F,N/A,272.2009,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,blindEvian_3,N/F,23199869,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C18H25NO,M+H,N/A,N/F,N/A,272.2009,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,AS_blank1,12647041,N/F,0,13.59,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,1614464,0.03,C18H25NO,M+H,N/A,N/A,N/A,272.2009,272.2008,-.1977 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,AS_blank2,11671225,N/F,0,13.59,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,1463345,0.03,C18H25NO,M+H,N/A,N/A,N/A,272.2009,272.2008,-.1977 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,AS_S5_1,13782027,65632543,0.21,13.59,Processed,,Unknown,237.673,T1,,9,1,AS_S5_1,,1789373,0.03,C18H25NO,M+H,N/A,237.673,N/A,272.2009,272.2009,-.0856 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,AS_S4_1,14192110,10137261,1.4,13.58,Processed,,Unknown,1631.048,T1,,10,1,AS_S4_1,,1852622,0.02,C18H25NO,M+H,N/A,1631.048,N/A,272.2009,272.2007,-.6462 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
