Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Diclofenac_201_p,19.12,Target Compound,blankNP_1,5492152,N/F,0,19.13,Processed,,Solvent,N/A,T1,,1,1,blankNP_1,,1249673,0.01,C14H11Cl2N1O2,M+H,N/A,N/A,N/A,296.024,296.0239,-.2187 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,blankEvian_1,799368,N/F,0,19.13,Processed,,Solvent,N/A,T1,,2,1,blankEvian_1,,209842,0.01,C14H11Cl2N1O2,M+H,N/A,N/A,N/A,296.024,296.0239,-.1156 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,blindEvian_1,872559,3823426,0.228,19.14,Processed,,Matrix Blank,1088.052,T1,,3,1,blindEvian_1,,162597,0.02,C14H11Cl2N1O2,M+H,N/A,1088.052,N/A,296.024,296.024,.0906 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 1088.052 > blank evaluation value 0
Diclofenac_201_p,19.12,Target Compound,Cal5_1,3192956,4118507,0.775,19.11,Processed,,Unknown,3637.852,T1,,4,1,Cal5_1,,677714,-0.01,C14H11Cl2N1O2,M+H,N/A,3637.852,N/A,296.024,296.0238,-.4249 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,blindEvian_2,366463,3537581,0.104,19.11,Processed,,Matrix Blank,507.192,T1,,5,1,blindEvian_2,,81187,-0.01,C14H11Cl2N1O2,M+H,N/A,507.192,N/A,296.024,296.024,.1937 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 507.192 > blank evaluation value 0
Diclofenac_201_p,19.12,Target Compound,blindEvian_3,332717,3668715,0.091,19.13,Processed,,Matrix Blank,447.062,T1,,6,1,blindEvian_3,,78057,0.01,C14H11Cl2N1O2,M+H,N/A,447.062,N/A,296.024,296.024,-.0125 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 447.062 > blank evaluation value 0
Diclofenac_201_p,19.12,Target Compound,AS_blank1,4529022,N/F,0,19.12,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,1117525,0.00,C14H11Cl2N1O2,M+H,N/A,N/A,N/A,296.024,296.0238,-.4249 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_blank2,4191705,N/F,0,19.13,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,931105,0.01,C14H11Cl2N1O2,M+H,N/A,N/A,N/A,296.024,296.0237,-.7341 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S5_1,3855144,5850288,0.659,19.12,Processed,,Unknown,3095.767,T1,,9,1,AS_S5_1,,912596,0.00,C14H11Cl2N1O2,M+H,N/A,3095.767,N/A,296.024,296.0237,-.7341 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S4_1,4259070,6930458,0.615,19.12,Processed,,Unknown,2888.715,T1,,10,1,AS_S4_1,,1075721,0.00,C14H11Cl2N1O2,M+H,N/A,2888.715,N/A,296.024,296.0237,-.7341 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S3_1,5067669,6861074,0.739,19.13,Processed,,Unknown,3466.989,T1,,11,1,AS_S3_1,,1077984,0.01,C14H11Cl2N1O2,M+H,N/A,3466.989,N/A,296.024,296.0239,-.2187 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S2_1,5725772,5764857,0.993,19.14,Processed,,Unknown,4653.705,T1,,12,1,AS_S2_1,,1379922,0.02,C14H11Cl2N1O2,M+H,N/A,4653.705,N/A,296.024,296.0235,-1.4558 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S1_1,5146377,6026840,0.854,19.12,Processed,,Unknown,4004.387,T1,,13,1,AS_S1_1,,1140056,0.00,C14H11Cl2N1O2,M+H,N/A,4004.387,N/A,296.024,296.0238,-.6311 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,Cal5_2,3270798,3883672,0.842,19.11,Processed,,Unknown,3949.772,T1,,14,1,Cal5_2,,741657,-0.01,C14H11Cl2N1O2,M+H,N/A,3949.772,N/A,296.024,296.024,-.0125 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.12,Target Compound,AS_S5_2,4631994,5538314,0.836,19.12,Processed,,Unknown,3922.563,T1,,15,1,AS_S5_2,,1147504,0.00,C14H11Cl2N1O2,M+H,N/A,3922.563,N/A,296.024,296.0237,-.7341 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
