Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Edoxaban_p,12.58,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C24H30ClN7O4S,N/A,N/A,N/F,N/A,548.1841,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C24H30ClN7O4S,N/A,N/A,N/F,N/A,548.1841,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C24H30ClN7O4S,N/A,N/A,N/F,N/A,548.1841,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,Cal5_1,6731500,N/A,0,12.59,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,1099854,0.01,C24H30ClN7O4S,M+H,N/A,N/A,N/A,548.1841,548.1838,-.5895 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C24H30ClN7O4S,N/A,N/A,N/F,N/A,548.1841,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C24H30ClN7O4S,N/A,N/A,N/F,N/A,548.1841,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,AS_blank1,1013054,N/A,0,12.59,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,151478,0.01,C24H30ClN7O4S,M+H,N/A,N/A,N/A,548.1841,548.1841,.0786 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,AS_blank2,869484,N/A,0,12.61,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,130870,0.03,C24H30ClN7O4S,M+H,N/A,N/A,N/A,548.1841,548.1841,.0786 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,AS_S5_1,935498,N/A,0,12.57,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,164722,-0.01,C24H30ClN7O4S,M+H,N/A,N/A,N/A,548.1841,548.1837,-.7008 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,AS_S4_1,890787,N/A,0,12.58,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,136215,0.00,C24H30ClN7O4S,M+H,N/A,N/A,N/A,548.1841,548.1833,-1.3689 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Edoxaban_p,12.58,Target Compound,AS_S3_1,7141869,N/A,0,12.58,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,1073594,0.00,C24H30ClN7O4S,M+H,N/A,N/A,N/A,548.1841,548.184,-.2555 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
