Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Elvitegravir_p,19.56,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C23H23ClFNO5,N/A,N/A,N/F,N/A,448.1322,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C23H23ClFNO5,N/A,N/A,N/F,N/A,448.1322,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C23H23ClFNO5,N/A,N/A,N/F,N/A,448.1322,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,Cal5_1,12565784,N/A,0,19.56,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,3196428,0.00,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1322,.0729 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,blindEvian_2,1165955,N/A,0,19.56,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,249428,0.00,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1324,.4815 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,blindEvian_3,299974,N/A,0,19.57,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,56369,0.01,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1327,1.0263 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_blank1,1693536,N/A,0,19.57,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,415770,0.01,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1321,-.1314 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_blank2,1521971,N/A,0,19.58,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,417147,0.02,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1321,-.1314 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_S5_1,2657604,N/A,0,19.56,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,765890,0.00,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1315,-1.4934 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_S4_1,3415246,N/A,0,19.56,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,734995,0.00,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1315,-1.6296 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_S3_1,5460219,N/A,0,19.56,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,1214950,0.00,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1315,-1.6296 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_S2_1,3956097,N/A,0,19.55,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,878867,-0.01,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1315,-1.6296 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Elvitegravir_p,19.56,Target Compound,AS_S1_1,7580468,N/A,0,19.56,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,1639852,0.00,C23H23ClFNO5,M+H,N/A,N/A,N/A,448.1322,448.1314,-1.6977 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
