Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Emtricitabine_3106_p,8.45,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,blindEvian_1,N/F,5550772,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,Cal5_1,1795719,5940608,0.302,8.45,Processed,,Unknown,2916.981,T1,,4,1,Cal5_1,,328077,0.00,C8H10FN3O3S,M+H,N/A,2916.981,N/A,248.05,248.0498,-.7895 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,blindEvian_2,N/F,5498117,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,blindEvian_3,N/F,5537503,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_blank1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_blank2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S5_1,N/F,18017046,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_1,N/F,15893152,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_1,1012878,12310499,0.082,8.38,Processed,,Unknown,820.534,T1,,11,1,AS_S3_1,,71583,-0.07,C8H10FN3O3S,M+H,N/A,820.534,N/A,248.05,248.0498,-.7280 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S2_1,1212365,17895953,0.068,8.42,Processed,,Unknown,682.051,T1,,12,1,AS_S2_1,,98429,-0.03,C8H10FN3O3S,M+H,N/A,682.051,N/A,248.05,248.0497,-1.0971 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S1_1,1666419,19198956,0.087,8.33,Processed,,Unknown,863.604,T1,,13,1,AS_S1_1,,86213,-0.12,C8H10FN3O3S,M+H,N/A,863.604,N/A,248.05,248.0498,-.6664 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,Cal5_2,1855293,6157709,0.301,8.46,Processed,,Unknown,2907.617,T1,,14,1,Cal5_2,,307482,0.01,C8H10FN3O3S,M+H,N/A,2907.617,N/A,248.05,248.0498,-.7895 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S5_2,684970,17900475,0.038,8.45,Processed,,Unknown,401.132,T1,,15,1,AS_S5_2,,50044,0.00,C8H10FN3O3S,M+H,N/A,401.132,N/A,248.05,248.0501,.5023 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_2,621750,14527739,0.043,8.45,Processed,,Unknown,444.318,T1,,16,1,AS_S4_2,,39603,0.00,C8H10FN3O3S,M+H,N/A,444.318,N/A,248.05,248.0498,-.5434 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_2,1886159,14999009,0.126,8.44,Processed,,Unknown,1234.815,T1,,17,1,AS_S3_2,,120356,-0.01,C8H10FN3O3S,M+H,N/A,1234.815,N/A,248.05,248.0498,-.8510 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S2_2,1788247,18328795,0.098,8.47,Processed,,Unknown,966.211,T1,,18,1,AS_S2_2,,120993,0.02,C8H10FN3O3S,M+H,N/A,966.211,N/A,248.05,248.05,.0102 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S1_2,2320855,17519229,0.132,8.44,Processed,,Unknown,1298.876,T1,,19,1,AS_S1_2,,125357,-0.01,C8H10FN3O3S,M+H,N/A,1298.876,N/A,248.05,248.0498,-.8510 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S5_3,779831,18516403,0.042,8.45,Processed,,Unknown,437.821,T1,,20,1,AS_S5_3,,59664,0.00,C8H10FN3O3S,M+H,N/A,437.821,N/A,248.05,248.0496,-1.6507 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_3,594923,13531640,0.044,8.43,Processed,,Unknown,455.447,T1,,21,1,AS_S4_3,,42891,-0.02,C8H10FN3O3S,M+H,N/A,455.447,N/A,248.05,248.0499,-.1743 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_3,1766729,13930376,0.127,8.44,Processed,,Unknown,1245.044,T1,,22,1,AS_S3_3,,109889,-0.01,C8H10FN3O3S,M+H,N/A,1245.044,N/A,248.05,248.0499,-.3589 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S2_3,1844544,18655709,0.099,8.43,Processed,,Unknown,978.675,T1,,23,1,AS_S2_3,,128298,-0.02,C8H10FN3O3S,M+H,N/A,978.675,N/A,248.05,248.0497,-.9125 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S1_3,2495583,17317238,0.144,8.45,Processed,,Unknown,1409.749,T1,,24,1,AS_S1_3,,156966,0.00,C8H10FN3O3S,M+H,N/A,1409.749,N/A,248.05,248.0498,-.7895 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,Cal8_2,3304770,6396881,0.517,8.46,Processed,,Unknown,4959.514,T1,,25,1,Cal8_2,,532589,0.01,C8H10FN3O3S,M+H,N/A,4959.514,N/A,248.05,248.0498,-.7895 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S5_4,4070892,16816183,0.242,8.42,Processed,,Unknown,2343.35,T1,,26,1,AS_S5_4,,289746,-0.03,C8H10FN3O3S,M+H,N/A,2343.35,N/A,248.05,248.0499,-.4204 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_4,2995807,14166228,0.211,8.41,Processed,,Unknown,2051.692,T1,,27,1,AS_S4_4,,207028,-0.04,C8H10FN3O3S,M+H,N/A,2051.692,N/A,248.05,248.0498,-.6664 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_4,4120744,12890212,0.32,8.48,Processed,,Unknown,3082.803,T1,,28,1,AS_S3_4,,246445,0.03,C8H10FN3O3S,M+H,N/A,3082.803,N/A,248.05,248.0496,-1.5892 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S2_4,5816745,18457867,0.315,8.46,Processed,,Unknown,3039.505,T1,,29,1,AS_S2_4,,397192,0.01,C8H10FN3O3S,M+H,N/A,3039.505,N/A,248.05,248.0499,-.4204 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S1_4,5444408,18100370,0.301,8.45,Processed,,Unknown,2902.794,T1,,30,1,AS_S1_4,,352140,0.00,C8H10FN3O3S,M+H,N/A,2902.794,N/A,248.05,248.0498,-.6664 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S5_5,8867989,18363108,0.483,8.5,Processed,,Unknown,4638.398,T1,,31,1,AS_S5_5,,704253,0.05,C8H10FN3O3S,M+H,N/A,4638.398,N/A,248.05,248.0497,-1.2201 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S4_5,7123102,16000415,0.445,8.44,Processed,,Unknown,4278.746,T1,,32,1,AS_S4_5,,530292,-0.01,C8H10FN3O3S,M+H,N/A,4278.746,N/A,248.05,248.0497,-1.0355 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S3_5,14184279,13972623,1.015,8.41,Processed,,Unknown,9710.094,T1,,33,1,AS_S3_5,,859133,-0.04,C8H10FN3O3S,M+H,N/A,9710.094,N/A,248.05,248.0498,-.7280 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S2_5,9767904,18632853,0.524,8.44,Processed,,Unknown,5032.014,T1,,34,1,AS_S2_5,,802340,-0.01,C8H10FN3O3S,M+H,N/A,5032.014,N/A,248.05,248.0498,-.6664 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S1_5,10025214,17494598,0.573,8.47,Processed,,Unknown,5497.195,T1,,35,1,AS_S1_5,,624371,0.02,C8H10FN3O3S,M+H,N/A,5497.195,N/A,248.05,248.05,.1332 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.45,Target Compound,AS_S5_6,8407867,18215083,0.462,8.42,Processed,,Unknown,4435.082,T1,,36,1,AS_S5_6,,597447,-0.03,C8H10FN3O3S,M+H,N/A,4435.082,N/A,248.05,248.0498,-.6049 (ppm),1,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
