Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Entacapone_n,15.88,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C14H15N3O5,N/A,N/A,N/F,N/A,304.0939,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C14H15N3O5,N/A,N/A,N/F,N/A,304.0939,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C14H15N3O5,N/A,N/A,N/F,N/A,304.0939,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,Cal5_1,7263756,N/A,0,15.87,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,1356049,-0.01,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.094,.4099 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,blindEvian_2,2918060,N/A,0,15.86,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,374042,-0.02,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.0942,1.1124 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,blindEvian_3,758451,N/A,0,15.88,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,111161,0.00,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.0943,1.2128 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,AS_blank1,1251561,N/A,0,15.89,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,241168,0.01,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.0942,1.1124 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,AS_blank2,965256,N/A,0,15.88,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,175133,0.00,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.0941,.5103 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,AS_S5_1,792692,N/A,0,15.88,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,149380,0.00,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.0938,-.2926 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,AS_S4_1,1098524,N/A,0,15.86,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,197528,-0.02,C14H15N3O5,M-H,N/A,N/A,N/A,304.0939,304.0937,-.5936 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
