Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Fenfluramine_3469_p,12.85,Target Compound,blankNP_1,157776,N/A,0,12.88,Processed,,Solvent,N/A,T1,,1,1,blankNP_1,,33290,0.03,,M+H,N/A,N/A,N/A,232.1308,232.131,.7159 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,blankEvian_1,613325,N/A,0,12.92,Processed,,Solvent,N/A,T1,,2,1,blankEvian_1,,98965,0.07,,M+H,N/A,N/A,N/A,232.1308,232.1308,-.2044 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,blindEvian_1,707369,N/A,0,12.9,Processed,,Matrix Blank,N/A,T1,,3,1,blindEvian_1,,116915,0.05,,M+H,N/A,N/A,N/A,232.1308,232.1307,-.4016 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,Cal5_1,55203698,N/A,0,12.87,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,7733766,0.02,,M+H,N/A,N/A,N/A,232.1308,232.1306,-.9274 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,blindEvian_2,1562040,N/A,0,12.86,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,206465,0.01,,M+H,N/A,N/A,N/A,232.1308,232.1308,-.2044 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,blindEvian_3,959628,N/A,0,12.86,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,143039,0.01,,M+H,N/A,N/A,N/A,232.1308,232.1308,.0586 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_blank1,639941,N/A,0,12.89,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,154566,0.04,,M+H,N/A,N/A,N/A,232.1308,232.131,.6502 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_blank2,577727,N/A,0,12.85,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,129854,0.00,,M+H,N/A,N/A,N/A,232.1308,232.131,.7817 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_S5_1,1966810,N/A,0,12.86,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,348845,0.01,,M+H,N/A,N/A,N/A,232.1308,232.131,.7817 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_S4_1,1548569,N/A,0,12.84,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,350270,-0.01,,M+H,N/A,N/A,N/A,232.1308,232.1307,-.2701 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_S3_1,47988206,N/A,0,12.89,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,7105862,0.04,,M+H,N/A,N/A,N/A,232.1308,232.1306,-.8617 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_S2_1,42218395,N/A,0,12.87,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,6325583,0.02,,M+H,N/A,N/A,N/A,232.1308,232.1306,-.7960 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_S1_1,38650340,N/A,0,12.86,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,7174229,0.01,,M+H,N/A,N/A,N/A,232.1308,232.1305,-1.2561 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,Cal5_2,52564557,N/A,0,12.82,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,7683363,-0.03,,M+H,N/A,N/A,N/A,232.1308,232.1305,-1.2561 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,AS_S5_2,18964773,N/A,0,12.81,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,3426546,-0.04,,M+H,N/A,N/A,N/A,232.1308,232.1306,-.7302 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
