Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Icaridin_2991_p,17.53,Target Compound,blankNP_1,7101936,N/A,0,17.53,Processed,,Solvent,N/A,T1,,1,1,blankNP_1,,1398937,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1751,-.1560 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,blankEvian_1,624272,N/A,0,17.53,Processed,,Solvent,N/A,T1,,2,1,blankEvian_1,,111495,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1749,-.7527 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,blindEvian_1,488800,N/A,0,17.56,Processed,,Matrix Blank,N/A,T1,,3,1,blindEvian_1,,81398,0.03,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.175,-.3549 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,Cal5_1,8695801,N/A,0,17.53,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,1943864,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.175,-.2223 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,blindEvian_2,414673,N/A,0,17.53,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,66965,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1751,-.0234 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,76.97,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,blindEvian_3,384134,N/A,0,17.54,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,64421,0.01,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1749,-.6864 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,111.42,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_blank1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C12H23NO3,M+H,N/A,N/F,N/A,230.1751,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_blank2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C12H23NO3,M+H,N/A,N/F,N/A,230.1751,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C12H23NO3,M+H,N/A,N/F,N/A,230.1751,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S4_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C12H23NO3,M+H,N/A,N/F,N/A,230.1751,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S3_1,8590340,N/A,0,17.52,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,1711902,-0.01,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1751,-.1560 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S2_1,9244716,N/A,0,17.53,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,1882532,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.175,-.4212 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S1_1,7399198,N/A,0,17.54,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,1637814,0.01,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.175,-.5538 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,Cal5_2,9479710,N/A,0,17.53,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,1990271,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1751,.1754 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S5_2,4401379,N/A,0,17.52,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,796663,-0.01,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1751,-.1560 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S4_2,4438850,N/A,0,17.53,Processed,,Unknown,N/A,T1,,16,1,AS_S4_2,,926781,0.00,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.1749,-.9515 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S3_2,12286478,N/A,0,17.54,Processed,,Unknown,N/A,T1,,17,1,AS_S3_2,,2501157,0.01,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.175,-.3549 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Icaridin_2991_p,17.53,Target Compound,AS_S2_2,10526685,N/A,0,17.52,Processed,,Unknown,N/A,T1,,18,1,AS_S2_2,,2225915,-0.01,C12H23NO3,M+H,N/A,N/A,N/A,230.1751,230.175,-.2223 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
