Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Ifosfamid_2683_p,14.19,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,blindEvian_1,N/F,49660865,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,Cal5_1,8653770,50819936,0.17,14.17,Processed,,Unknown,2459.559,T1,,4,1,Cal5_1,,1883048,-0.02,C7H15Cl2N2O2P,M+H,N/A,2459.559,N/A,261.0321,261.032,-.5673 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,blindEvian_2,N/F,45692694,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,blindEvian_3,N/F,48712359,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,AS_blank1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,AS_blank2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,AS_S5_1,N/F,78513085,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.19,Target Compound,AS_S4_1,N/F,83100888,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
