Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Isoproturon_286_p,17.1,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C12H18N2O1,N/A,N/A,N/F,N/A,207.1492,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,blankEvian_1,42378,N/F,0,17.1,Processed,,Solvent,N/A,T1,,2,1,blankEvian_1,,15289,0.00,C12H18N2O1,M+H,N/A,N/A,N/A,207.1492,207.1492,.1241 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,blindEvian_1,3115589,87534797,0.036,17.1,Processed,,Matrix Blank,-24.222,T1,,3,1,blindEvian_1,,591837,0.00,C12H18N2O1,M+H,N/A,-24.222,N/A,207.1492,207.1492,.1241 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,Cal5_1,42214688,82023464,0.515,17.09,Processed,,Unknown,2539.235,T1,,4,1,Cal5_1,,10821346,-0.01,C12H18N2O1,M+H,N/A,2539.235,N/A,207.1492,207.1492,-.1706 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,blindEvian_2,2600940,70990475,0.037,17.07,Processed,,Matrix Blank,-18.629,T1,,5,1,blindEvian_2,,522249,-0.03,C12H18N2O1,M+H,N/A,-18.629,N/A,207.1492,207.1493,.3450 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,blindEvian_3,2431477,73963261,0.033,17.08,Processed,,Matrix Blank,-38.769,T1,,6,1,blindEvian_3,,450247,-0.02,C12H18N2O1,M+H,N/A,-38.769,N/A,207.1492,207.1493,.4924 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_blank1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C12H18N2O1,N/A,N/A,N/F,N/A,207.1492,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_blank2,73524,N/F,0,16.59,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,22377,-0.51,C12H18N2O1,M+H,N/A,N/A,N/A,207.1492,207.1489,-1.2755 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S5_1,7084824,198056796,0.036,17.09,Processed,,Unknown,-23.264,T1,,9,1,AS_S5_1,,1804200,-0.01,C12H18N2O1,M+H,N/A,-23.264,N/A,207.1492,207.1491,-.3916 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S4_1,7680363,228722908,0.034,17.08,Processed,,Unknown,-34.995,T1,,10,1,AS_S4_1,,1804400,-0.02,C12H18N2O1,M+H,N/A,-34.995,N/A,207.1492,207.149,-.6862 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S3_1,45614939,248173309,0.184,17.08,Processed,,Unknown,768.83,T1,,11,1,AS_S3_1,,8811078,-0.02,C12H18N2O1,M+H,N/A,768.83,N/A,207.1492,207.1492,.0504 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S2_1,40561543,190009034,0.213,17.09,Processed,,Unknown,927.585,T1,,12,1,AS_S2_1,,8051707,-0.01,C12H18N2O1,M+H,N/A,927.585,N/A,207.1492,207.149,-1.1282 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S1_1,32872188,199153915,0.165,17.1,Processed,,Unknown,668.536,T1,,13,1,AS_S1_1,,7097227,0.00,C12H18N2O1,M+H,N/A,668.536,N/A,207.1492,207.149,-.9072 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,Cal5_2,46579645,93508512,0.498,17.09,Processed,,Unknown,2450.768,T1,,14,1,Cal5_2,,10879237,-0.01,C12H18N2O1,M+H,N/A,2450.768,N/A,207.1492,207.1492,.1241 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S5_2,22049163,195062017,0.113,17.08,Processed,,Unknown,390.171,T1,,15,1,AS_S5_2,,4452919,-0.02,C12H18N2O1,M+H,N/A,390.171,N/A,207.1492,207.149,-1.0545 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S4_2,25781317,250097359,0.103,17.09,Processed,,Unknown,336.921,T1,,16,1,AS_S4_2,,5085562,-0.01,C12H18N2O1,M+H,N/A,336.921,N/A,207.1492,207.1491,-.6126 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S3_2,53101550,228998199,0.232,17.1,Processed,,Unknown,1026.119,T1,,17,1,AS_S3_2,,9783558,0.00,C12H18N2O1,M+H,N/A,1026.119,N/A,207.1492,207.1491,-.6126 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S2_2,48222953,199121149,0.242,17.08,Processed,,Unknown,1081.194,T1,,18,1,AS_S2_2,,10805687,-0.02,C12H18N2O1,M+H,N/A,1081.194,N/A,207.1492,207.1491,-.2442 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S1_2,48042444,188379204,0.255,17.08,Processed,,Unknown,1149.961,T1,,19,1,AS_S1_2,,9646635,-0.02,C12H18N2O1,M+H,N/A,1149.961,N/A,207.1492,207.1492,-.1706 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.1,Target Compound,AS_S5_3,20978241,184255116,0.114,17.11,Processed,,Unknown,394.546,T1,,20,1,AS_S5_3,,4371597,0.01,C12H18N2O1,M+H,N/A,394.546,N/A,207.1492,207.149,-.7599 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
