Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Levamisol_2857_p,8.63,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C11H12N2S,N/A,N/A,N/F,N/A,205.0794,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,blankEvian_1,162261,N/F,0,8.7,Processed,,Solvent,N/A,T1,,2,1,blankEvian_1,,24656,0.07,C11H12N2S,M+H,N/A,N/A,N/A,205.0794,205.0799,2.2650 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,blindEvian_1,182627,75239744,0.002,8.69,Processed,,Matrix Blank,-19.21,T1,,3,1,blindEvian_1,,32450,0.06,C11H12N2S,M+H,N/A,-19.21,N/A,205.0794,205.0794,-.0415 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,Cal5_1,37949150,78474486,0.484,8.68,Processed,,Unknown,2513.051,T1,,4,1,Cal5_1,,4223516,0.05,C11H12N2S,M+H,N/A,2513.051,N/A,205.0794,205.0793,-.4880 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,blindEvian_2,1708646,74720638,0.023,8.62,Processed,,Matrix Blank,88.362,T1,,5,1,blindEvian_2,,143197,-0.01,C11H12N2S,M+H,N/A,88.362,N/A,205.0794,205.0795,.2561 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 88.362 > blank evaluation value 0
Levamisol_2857_p,8.63,Target Compound,blindEvian_3,1027139,75488494,0.014,8.65,Processed,,Matrix Blank,39.625,T1,,6,1,blindEvian_3,,101334,0.02,C11H12N2S,M+H,N/A,39.625,N/A,205.0794,205.0795,.2561 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 39.625 > blank evaluation value 0
Levamisol_2857_p,8.63,Target Compound,AS_blank1,10165202,N/F,0,8.68,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,1226096,0.05,C11H12N2S,M+H,N/A,N/A,N/A,205.0794,205.0795,.7025 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_blank2,9011206,N/F,0,8.64,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,1196597,0.01,C11H12N2S,M+H,N/A,N/A,N/A,205.0794,205.0794,.1817 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_S5_1,7979932,169216414,0.047,8.6,Processed,,Unknown,216.202,T1,,9,1,AS_S5_1,,998162,-0.03,C11H12N2S,M+H,N/A,216.202,N/A,205.0794,205.0795,.5537 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_S4_1,8592673,197102534,0.044,8.64,Processed,,Unknown,197.449,T1,,10,1,AS_S4_1,,1133149,0.01,C11H12N2S,M+H,N/A,197.449,N/A,205.0794,205.0794,.1073 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_S3_1,40987905,204154318,0.201,8.61,Processed,,Unknown,1024.632,T1,,11,1,AS_S3_1,,4945593,-0.02,C11H12N2S,M+H,N/A,1024.632,N/A,205.0794,205.0794,.1817 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_S2_1,42625924,163394301,0.261,8.62,Processed,,Unknown,1340.973,T1,,12,1,AS_S2_1,,5639118,-0.01,C11H12N2S,M+H,N/A,1340.973,N/A,205.0794,205.0794,.1817 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_S1_1,38974524,173101844,0.225,8.63,Processed,,Unknown,1152.964,T1,,13,1,AS_S1_1,,5405217,0.00,C11H12N2S,M+H,N/A,1152.964,N/A,205.0794,205.0794,.0329 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,Cal5_2,37670253,77542911,0.486,8.64,Processed,,Unknown,2524.697,T1,,14,1,Cal5_2,,4097315,0.01,C11H12N2S,M+H,N/A,2524.697,N/A,205.0794,205.0793,-.2648 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,AS_S5_2,24216061,169263948,0.143,8.61,Processed,,Unknown,720.954,T1,,15,1,AS_S5_2,,3298316,-0.02,C11H12N2S,M+H,N/A,720.954,N/A,205.0794,205.0795,.6281 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
