Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Losartan_2794_p,16.77,Target Compound,blankNP_1,N/F,519224,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,blindEvian_1,N/F,14023918,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,Cal5_1,24881423,14423039,1.725,16.76,Processed,,Unknown,4964.656,T1,,4,1,Cal5_1,,4972511,-0.01,C22H23ClN6O,M+H,N/A,4964.656,N/A,423.1695,423.1693,-.4230 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,blindEvian_2,120194,11931013,0.01,16.76,Processed,,Matrix Blank,50.858,T1,,5,1,blindEvian_2,,43218,-0.01,C22H23ClN6O,M+H,N/A,50.858,N/A,423.1695,423.1698,.7309 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 50.858 > blank evaluation value 0
Losartan_2794_p,16.77,Target Compound,blindEvian_3,N/F,12609448,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_blank1,1440615,13100684,0.11,16.76,Processed,,Solvent,337.057,T1,,7,1,AS_blank1,,321336,-0.01,C22H23ClN6O,M+H,N/A,337.057,N/A,423.1695,423.1688,-1.5769 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_blank2,1432554,14217469,0.101,16.77,Processed,,Solvent,310.685,T1,,8,1,AS_blank2,,305601,0.00,C22H23ClN6O,M+H,N/A,310.685,N/A,423.1695,423.1689,-1.4326 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S5_1,1302482,32920559,0.04,16.76,Processed,,Unknown,135.352,T1,,9,1,AS_S5_1,,303362,-0.01,C22H23ClN6O,M+H,N/A,135.352,N/A,423.1695,423.1687,-1.7932 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S4_1,1877991,33740813,0.056,16.77,Processed,,Unknown,181.466,T1,,10,1,AS_S4_1,,505903,0.00,C22H23ClN6O,M+H,N/A,181.466,N/A,423.1695,423.169,-.9999 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S3_1,17187683,33723607,0.51,16.77,Processed,,Unknown,1482.24,T1,,11,1,AS_S3_1,,3891858,0.00,C22H23ClN6O,M+H,N/A,1482.24,N/A,423.1695,423.1695,.0097 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S2_1,19095117,32640736,0.585,16.78,Processed,,Unknown,1698.114,T1,,12,1,AS_S2_1,,4368743,0.01,C22H23ClN6O,M+H,N/A,1698.114,N/A,423.1695,423.1688,-1.5047 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S1_1,17961198,32457471,0.553,16.77,Processed,,Unknown,1607.483,T1,,13,1,AS_S1_1,,3769557,0.00,C22H23ClN6O,M+H,N/A,1607.483,N/A,423.1695,423.1691,-.8557 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,Cal5_2,27892465,16370610,1.704,16.78,Processed,,Unknown,4903.62,T1,,14,1,Cal5_2,,6302360,0.01,C22H23ClN6O,M+H,N/A,4903.62,N/A,423.1695,423.169,-1.0720 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,16.77,Target Compound,AS_S5_2,9057102,33105321,0.274,16.77,Processed,,Unknown,805.847,T1,,15,1,AS_S5_2,,2075795,0.00,C22H23ClN6O,M+H,N/A,805.847,N/A,423.1695,423.1691,-.8557 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
