Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Metoclopramid_2781_p,10.32,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C14H22ClN3O2,N/A,N/A,N/F,N/A,300.1473,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C14H22ClN3O2,N/A,N/A,N/F,N/A,300.1473,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,blindEvian_1,N/F,59186437,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C14H22ClN3O2,N/A,N/A,N/F,N/A,300.1473,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,Cal5_1,48082003,53632022,0.897,10.36,Processed,,Unknown,4025.362,T1,,4,1,Cal5_1,,6782626,0.04,C14H22ClN3O2,M+H,N/A,4025.362,N/A,300.1473,300.1471,-.7839 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,blindEvian_2,N/F,47391191,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C14H22ClN3O2,M+H,N/A,N/F,N/A,300.1473,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,blindEvian_3,N/F,49351326,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C14H22ClN3O2,M+H,N/A,N/F,N/A,300.1473,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,AS_blank1,1113050,N/F,0,10.33,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,178513,0.01,C14H22ClN3O2,M+H,N/A,N/A,N/A,300.1473,300.1474,.1312 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,AS_blank2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C14H22ClN3O2,M+H,N/A,N/F,N/A,300.1473,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,AS_S5_1,N/F,131557797,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C14H22ClN3O2,M+H,N/A,N/F,N/A,300.1473,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,AS_S4_1,1058943,128163645,0.008,10.32,Processed,,Unknown,-3.073,T1,,10,1,AS_S4_1,,183547,0.00,C14H22ClN3O2,M+H,N/A,-3.073,N/A,300.1473,300.1472,-.4788 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
