Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Metoxuron_3204_p,14.6,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C10H13ClN2O2,N/A,N/A,N/F,N/A,229.0738,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C10H13ClN2O2,N/A,N/A,N/F,N/A,229.0738,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,blindEvian_1,37533,N/A,0,14.41,Processed,,Matrix Blank,N/A,T1,,3,1,blindEvian_1,,7851,-0.19,C10H13ClN2O2,M+H,N/A,N/A,N/A,229.0738,229.0747,3.9618 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,Cal5_1,16040569,N/A,0,14.6,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,3135672,0.00,C10H13ClN2O2,M+H,N/A,N/A,N/A,229.0738,229.0738,-.3013 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,blindEvian_2,84328,N/A,0,14.44,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,12354,-0.16,C10H13ClN2O2,M+H,N/A,N/A,N/A,229.0738,229.0747,3.8286 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,blindEvian_3,92984,N/A,0,14.42,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,22180,-0.18,C10H13ClN2O2,M+H,N/A,N/A,N/A,229.0738,229.0748,4.4281 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_blank1,2427561,N/A,0,14.46,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,577963,-0.14,C10H13ClN2O2,M+H,N/A,N/A,N/A,229.0738,229.0738,-.2347 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_blank2,4413858,N/A,0,14.44,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,651958,-0.16,C10H13ClN2O2,M+H,N/A,N/A,N/A,229.0738,229.0743,2.0967 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C10H13ClN2O2,N/A,N/A,N/F,N/A,229.0738,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoxuron_3204_p,14.6,Target Compound,AS_S4_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C10H13ClN2O2,N/A,N/A,N/F,N/A,229.0738,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
