Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Mirabegron_p,9.04,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C21H24N4O2S,N/A,N/A,N/F,N/A,397.1693,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C21H24N4O2S,N/A,N/A,N/F,N/A,397.1693,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C21H24N4O2S,N/A,N/A,N/F,N/A,397.1693,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,Cal5_1,2140136,N/A,0,9.1,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,313997,0.06,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1691,-.5089 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,blindEvian_2,83075,N/A,0,9.11,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,21951,0.07,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1694,.2595 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,blindEvian_3,40309,N/A,0,9.09,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,7526,0.05,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1685,-2.1224 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_blank1,223924,N/A,0,9.12,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,42203,0.08,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1694,.1827 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_blank2,173892,N/A,0,9.12,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,35986,0.08,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1695,.4132 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S5_1,299226,N/A,0,9.14,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,42072,0.10,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1688,-1.2004 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S4_1,280733,N/A,0,9.18,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,43662,0.14,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1687,-1.5077 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S3_1,1803227,N/A,0,9.14,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,245724,0.10,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.169,-.6625 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S2_1,2019660,N/A,0,9.12,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,270981,0.08,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1693,-.0478 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S1_1,1995246,N/A,0,9.13,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,271945,0.09,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1691,-.4320 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,Cal5_2,2013523,N/A,0,9.13,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,306493,0.09,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1691,-.4320 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S5_2,1117480,N/A,0,9.11,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,169364,0.07,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1692,-.2015 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Mirabegron_p,9.04,Target Compound,AS_S4_2,1077722,N/A,0,9.11,Processed,,Unknown,N/A,T1,,16,1,AS_S4_2,,153460,0.07,C21H24N4O2S,M+H,N/A,N/A,N/A,397.1693,397.1691,-.5089 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
