Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Moclobemid_2675_p,10.67,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C13H17ClN2O2,N/A,N/A,N/F,N/A,269.1051,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C13H17ClN2O2,N/A,N/A,N/F,N/A,269.1051,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,blindEvian_1,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C13H17ClN2O2,N/A,N/A,N/F,N/A,269.1051,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,Cal5_1,34196007,N/F,0,10.71,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,4182666,0.04,C13H17ClN2O2,M+H,N/A,N/A,N/A,269.1051,269.1048,-1.2361 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,blindEvian_2,287455,N/F,0,10.74,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,33055,0.07,C13H17ClN2O2,M+H,N/A,N/A,N/A,269.1051,269.1049,-.7825 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,blindEvian_3,139570,N/F,0,10.76,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,25523,0.09,C13H17ClN2O2,M+H,N/A,N/A,N/A,269.1051,269.1052,.1248 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,AS_blank1,421522,N/F,0,10.7,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,70296,0.03,C13H17ClN2O2,M+H,N/A,N/A,N/A,269.1051,269.1054,1.0320 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,AS_blank2,447593,N/F,0,10.68,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,65215,0.01,C13H17ClN2O2,M+H,N/A,N/A,N/A,269.1051,269.1056,1.7124 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,AS_S5_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C13H17ClN2O2,M+H,N/A,N/F,N/A,269.1051,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,AS_S4_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C13H17ClN2O2,M+H,N/A,N/F,N/A,269.1051,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
