Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Morphin_2744_p,6.37,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,blindEvian_1,N/F,13233328,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,Cal5_1,13573369,11798411,1.15,6.37,Processed,,Unknown,3326.822,T1,,4,1,Cal5_1,,2458325,0.00,C17H19NO3,M+H,N/A,3326.822,N/A,286.1438,286.1435,-.8591 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,blindEvian_2,N/F,10425646,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,blindEvian_3,N/F,11403157,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_blank1,1656530,N/F,0,6.38,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,464508,0.01,C17H19NO3,M+H,N/A,N/A,N/A,286.1438,286.1433,-1.4990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_blank2,1351289,N/F,0,6.42,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,311879,0.05,C17H19NO3,M+H,N/A,N/A,N/A,286.1438,286.1432,-1.9256 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S5_1,N/F,29015000,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C17H19NO3,M+H,N/A,N/F,N/A,286.1438,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,AS_S4_1,N/F,23654562,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C17H19NO3,M+H,N/A,N/F,N/A,286.1438,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
