Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Naloxone_10737_p,8.04,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,Cal5_1,16442925,N/A,0,8.05,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,3053696,0.01,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.5675 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_blank1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_blank2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S4_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S3_1,15981791,N/A,0,8.02,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,2688378,-0.02,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.4745 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S2_1,15145632,N/A,0,8.03,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,2304605,-0.01,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.6605 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S1_1,13424916,N/A,0,8.04,Processed,,Unknown,N/A,T1,,13,1,AS_S1_1,,2163505,0.00,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.5675 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,Cal5_2,16653832,N/A,0,8.04,Processed,,Unknown,N/A,T1,,14,1,Cal5_2,,2864728,0.00,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.6605 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S5_2,6737872,N/A,0,8.02,Processed,,Unknown,N/A,T1,,15,1,AS_S5_2,,1189605,-0.02,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.4745 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S4_2,7308894,N/A,0,8.02,Processed,,Unknown,N/A,T1,,16,1,AS_S4_2,,1188075,-0.02,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1542,-.1955 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S3_2,23896727,N/A,0,8.01,Processed,,Unknown,N/A,T1,,17,1,AS_S3_2,,4027971,-0.03,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1543,.0835 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,AS_S2_2,18895444,N/A,0,8.04,Processed,,Unknown,N/A,T1,,18,1,AS_S2_2,,3042263,0.00,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1541,-.5675 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
