Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,blindEvian_1,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,Cal5_1,3102063,N/F,0,14.85,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,613000,-0.02,C28H36O15,M-H,N/A,N/A,N/A,611.1981,611.1989,1.1658 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,blindEvian_2,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,blindEvian_3,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,AS_blank1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,7,1,AS_blank1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,AS_blank2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,8,1,AS_blank2,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,AS_S5_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,AS_S4_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,AS_S3_1,2196782,N/F,0,14.85,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,461510,-0.02,C28H36O15,M-H,N/A,N/A,N/A,611.1981,611.1988,1.0659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,14.87,Target Compound,AS_S2_1,2512894,N/F,0,14.87,Processed,,Unknown,N/A,T1,,12,1,AS_S2_1,,505747,0.00,C28H36O15,M-H,N/A,N/A,N/A,611.1981,611.1985,.5666 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
