Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Neotam_2815_p,15.85,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C20H30N2O5,N/A,N/A,N/F,N/A,379.2228,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C20H30N2O5,N/A,N/A,N/F,N/A,379.2228,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,blindEvian_1,N/F,23383598,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C20H30N2O5,N/A,N/A,N/F,N/A,379.2228,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,Cal5_1,45231456,25539542,1.771,15.84,Processed,,Unknown,4687.653,T1,,4,1,Cal5_1,,9903135,-0.01,C20H30N2O5,M+H,N/A,4687.653,N/A,379.2228,379.2225,-.6496 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,blindEvian_2,191040,24679789,0.008,15.83,Processed,,Matrix Blank,33.838,T1,,5,1,blindEvian_2,,55890,-0.02,C20H30N2O5,M+H,N/A,33.838,N/A,379.2228,379.2223,-1.1324 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 33.838 > blank evaluation value 0
Neotam_2815_p,15.85,Target Compound,blindEvian_3,136509,24910192,0.005,15.82,Processed,,Matrix Blank,27.871,T1,,6,1,blindEvian_3,,26040,-0.03,C20H30N2O5,M+H,N/A,27.871,N/A,379.2228,379.222,-2.0981 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 27.871 > blank evaluation value 0
Neotam_2815_p,15.85,Target Compound,AS_blank1,150230,N/F,0,15.86,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,39466,0.01,C20H30N2O5,M+H,N/A,N/A,N/A,379.2228,379.222,-1.9372 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_blank2,136087,N/F,0,15.84,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,49794,-0.01,C20H30N2O5,M+H,N/A,N/A,N/A,379.2228,379.2231,.7989 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S5_1,N/F,62672676,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C20H30N2O5,M+H,N/A,N/F,N/A,379.2228,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,AS_S4_1,N/F,70173604,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C20H30N2O5,M+H,N/A,N/F,N/A,379.2228,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
