Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Olmesartan_4229_p,13.96,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C24H26N6O3,N/A,N/A,N/F,N/A,447.2139,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C24H26N6O3,N/A,N/A,N/F,N/A,447.2139,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C24H26N6O3,N/A,N/A,N/F,N/A,447.2139,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,Cal5_1,20374146,N/A,0,13.96,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,4219077,0.00,C24H26N6O3,M+H,N/A,N/A,N/A,447.2139,447.2134,-1.0970 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C24H26N6O3,N/A,N/A,N/F,N/A,447.2139,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C24H26N6O3,N/A,N/A,N/F,N/A,447.2139,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,AS_blank1,1645022,N/A,0,13.97,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,364526,0.01,C24H26N6O3,M+H,N/A,N/A,N/A,447.2139,447.2139,.0631 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,AS_blank2,1726909,N/A,0,13.98,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,363780,0.02,C24H26N6O3,M+H,N/A,N/A,N/A,447.2139,447.2138,-.1416 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,AS_S5_1,1346832,N/A,0,13.98,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,298940,0.02,C24H26N6O3,M+H,N/A,N/A,N/A,447.2139,447.2141,.4725 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Olmesartan_4229_p,13.96,Target Compound,AS_S4_1,1674436,N/A,0,13.97,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,344465,0.01,C24H26N6O3,M+H,N/A,N/A,N/A,447.2139,447.2135,-.8922 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
