Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pravastatin_2859_n,16.84,Target Compound,blankNP_1,19970,N/F,0,17.26,Processed,,Solvent,N/A,T1,,1,1,blankNP_1,,5558,0.42,C23H36O7,M-H,N/A,N/A,N/A,423.2388,423.24,2.7413 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,blindEvian_1,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,Cal5_1,6558170,N/F,0,16.85,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,1382576,0.01,C23H36O7,M-H,N/A,N/A,N/A,423.2388,423.239,.5061 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,blindEvian_2,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,blindEvian_3,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_blank1,552439,N/F,0,17.41,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,42101,0.57,C23H36O7,M-H,N/A,N/A,N/A,423.2388,423.2387,-.3592 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_blank2,539181,N/F,0,17.33,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,33783,0.49,C23H36O7,M-H,N/A,N/A,N/A,423.2388,423.239,.3619 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S5_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S4_1,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,16.84,Target Compound,AS_S3_1,2480689,N/F,0,16.85,Processed,,Unknown,N/A,T1,,11,1,AS_S3_1,,506810,0.01,C23H36O7,M-H,N/A,N/A,N/A,423.2388,423.2394,1.3713 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
