Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Primidon_195_p,13.19,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,blindEvian_1,N/F,6809035,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,Cal5_1,3672412,6621488,0.555,13.19,Processed,,Unknown,2651.634,T1,,4,1,Cal5_1,,865446,0.00,C12H14N2O2,M+H,N/A,2651.634,N/A,219.1128,219.1127,-.3803 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,blindEvian_2,N/F,5350414,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,blindEvian_3,N/F,6282249,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_blank1,275151,N/F,0,13.63,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,69468,0.44,C12H14N2O2,M+H,N/A,N/A,N/A,219.1128,219.1131,1.2214 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_blank2,392690,N/F,0,12.48,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,63503,-0.71,C12H14N2O2,M+H,N/A,N/A,N/A,219.1128,219.1129,.4554 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S5_1,N/F,14110649,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_1,N/F,15850571,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_1,3079063,16331822,0.189,13.2,Processed,,Unknown,910.4,T1,,11,1,AS_S3_1,,629475,0.01,C12H14N2O2,M+H,N/A,910.4,N/A,219.1128,219.1127,-.2410 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S2_1,3241806,15252485,0.213,13.2,Processed,,Unknown,1024.606,T1,,12,1,AS_S2_1,,612308,0.01,C12H14N2O2,M+H,N/A,1024.606,N/A,219.1128,219.1129,.3161 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S1_1,2565538,13511592,0.19,13.19,Processed,,Unknown,916.799,T1,,13,1,AS_S1_1,,471063,0.00,C12H14N2O2,M+H,N/A,916.799,N/A,219.1128,219.1128,.0375 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,Cal5_2,3757948,6769070,0.555,13.19,Processed,,Unknown,2654.223,T1,,14,1,Cal5_2,,813164,0.00,C12H14N2O2,M+H,N/A,2654.223,N/A,219.1128,219.1127,-.3803 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S5_2,1390516,13101651,0.106,13.17,Processed,,Unknown,518.487,T1,,15,1,AS_S5_2,,240084,-0.02,C12H14N2O2,M+H,N/A,518.487,N/A,219.1128,219.1128,-.1017 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S4_2,1652931,18055946,0.092,13.18,Processed,,Unknown,449.102,T1,,16,1,AS_S4_2,,318714,-0.01,C12H14N2O2,M+H,N/A,449.102,N/A,219.1128,219.1128,.1768 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S3_2,4556600,16708713,0.273,13.18,Processed,,Unknown,1310.77,T1,,17,1,AS_S3_2,,978667,-0.01,C12H14N2O2,M+H,N/A,1310.77,N/A,219.1128,219.1128,-.1017 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S2_2,3752118,13243613,0.283,13.16,Processed,,Unknown,1361.222,T1,,18,1,AS_S2_2,,691818,-0.03,C12H14N2O2,M+H,N/A,1361.222,N/A,219.1128,219.1128,.0375 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.19,Target Compound,AS_S1_2,3493347,14655678,0.238,13.17,Processed,,Unknown,1147.407,T1,,19,1,AS_S1_2,,730977,-0.02,C12H14N2O2,M+H,N/A,1147.407,N/A,219.1128,219.1128,.1072 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
