Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Propranolol_171_p,13.42,Target Compound,blankNP_1,N/F,81601,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,"C16H21NO2 ",N/A,N/A,N/F,N/A,260.1645,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,blankEvian_1,N/F,46831,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,"C16H21NO2 ",N/A,N/A,N/F,N/A,260.1645,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,blindEvian_1,N/F,81220235,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,"C16H21NO2 ",N/A,N/A,N/F,N/A,260.1645,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,Cal5_1,47354456,77140568,0.614,13.45,Processed,,Unknown,2398.741,T1,,4,1,Cal5_1,,7147228,0.03,"C16H21NO2 ",M+H,N/A,2398.741,N/A,260.1645,260.1643,-.8990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,blindEvian_2,1126812,74784406,0.015,13.45,Processed,,Matrix Blank,94.356,T1,,5,1,blindEvian_2,,120008,0.03,"C16H21NO2 ",M+H,N/A,94.356,N/A,260.1645,260.1642,-1.2509 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 94.356 > blank evaluation value 0
Propranolol_171_p,13.42,Target Compound,blindEvian_3,397247,73400588,0.005,13.43,Processed,,Matrix Blank,57.199,T1,,6,1,blindEvian_3,,64065,0.01,"C16H21NO2 ",M+H,N/A,57.199,N/A,260.1645,260.1644,-.4298 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 57.199 > blank evaluation value 0
Propranolol_171_p,13.42,Target Compound,AS_blank1,10688287,N/F,0,13.41,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,1553128,-0.01,"C16H21NO2 ",M+H,N/A,N/A,N/A,260.1645,260.1646,.1568 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,AS_blank2,9515341,N/F,0,13.41,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,1443792,-0.01,"C16H21NO2 ",M+H,N/A,N/A,N/A,260.1645,260.1644,-.3125 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,AS_S5_1,11372124,143223489,0.079,13.39,Processed,,Unknown,341.933,T1,,9,1,AS_S5_1,,1759931,-0.03,"C16H21NO2 ",M+H,N/A,341.933,N/A,260.1645,260.1645,-.0779 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,AS_S4_1,12293897,167971414,0.073,13.4,Processed,,Unknown,318.031,T1,,10,1,AS_S4_1,,2011479,-0.02,"C16H21NO2 ",M+H,N/A,318.031,N/A,260.1645,260.1644,-.3125 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
