Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Rivaroxaban_3769_p,15.46,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,Cal5_1,4515558,N/A,0,15.47,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,981613,0.01,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0726,-.5703 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,blindEvian_2,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,5,1,blindEvian_2,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,blindEvian_3,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,AS_blank1,505275,N/A,0,15.45,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,117508,-0.01,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0732,.6894 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,AS_blank2,572909,N/A,0,15.46,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,103845,0.00,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0731,.6194 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,AS_S5_1,420938,N/A,0,15.44,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,106909,-0.02,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0734,1.2493 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.46,Target Compound,AS_S4_1,555322,N/A,0,15.45,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,114762,-0.01,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.073,.3395 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
