Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Sertraline_10552_p,15.62,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C17H17Cl2N,N/A,N/A,N/F,N/A,306.081,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C17H17Cl2N,N/A,N/A,N/F,N/A,306.081,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C17H17Cl2N,N/A,N/A,N/F,N/A,306.081,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,Cal5_1,14319035,N/A,0,15.65,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,2319056,0.03,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.081,-.1204 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,blindEvian_2,656219,N/A,0,15.62,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,93589,0.00,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.0811,.2784 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,blindEvian_3,278062,N/A,0,15.64,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,45063,0.02,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.0812,.7769 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,AS_blank1,1779556,N/A,0,15.64,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,271131,0.02,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.081,-.0207 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,AS_blank2,1246618,N/A,0,15.64,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,180094,0.02,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.0813,.8766 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,AS_S5_1,2696677,N/A,0,15.62,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,430273,0.00,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.0811,.4778 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,AS_S4_1,2216925,N/A,0,15.63,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,310345,0.01,C17H17Cl2N,M+H,N/A,N/A,N/A,306.081,306.081,-.0207 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
