Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Sulfasalazine_11013_p,17.36,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C18H14N4O5S,N/A,N/A,N/F,N/A,399.0758,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C18H14N4O5S,N/A,N/A,N/F,N/A,399.0758,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,blindEvian_1,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C18H14N4O5S,N/A,N/A,N/F,N/A,399.0758,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,Cal5_1,11763117,N/A,0,17.37,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,2271142,0.01,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.0757,-.2917 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,blindEvian_2,609433,N/A,0,17.35,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,82814,-0.01,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.0761,.7024 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,blindEvian_3,76255,N/A,0,17.41,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,26554,0.05,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.0775,4.2201 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,AS_blank1,3699026,N/A,0,17.4,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,727553,0.04,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.076,.4730 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,AS_blank2,3430069,N/A,0,17.39,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,695897,0.03,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.0757,-.2917 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,AS_S5_1,3058264,N/A,0,17.38,Processed,,Unknown,N/A,T1,,9,1,AS_S5_1,,567161,0.02,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.0759,.3201 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Sulfasalazine_11013_p,17.36,Target Compound,AS_S4_1,3195889,N/A,0,17.38,Processed,,Unknown,N/A,T1,,10,1,AS_S4_1,,584645,0.02,C18H14N4O5S,M+H,N/A,N/A,N/A,399.0758,399.0757,-.1387 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
