Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Tolperison_p,12.19,Target Compound,blankNP_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,blankEvian_1,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,blindEvian_1,949550,N/A,0,12.51,Processed,,Matrix Blank,N/A,T1,,3,1,blindEvian_1,,164312,0.32,,M+H,N/A,N/A,N/A,246.1852,246.1849,-1.2562 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,Cal5_1,41401373,N/A,0,12.24,Processed,,Unknown,N/A,T1,,4,1,Cal5_1,,6025326,0.05,,M+H,N/A,N/A,N/A,246.1852,246.1851,-.2645 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,blindEvian_2,921237,N/A,0,12.24,Processed,,Matrix Blank,N/A,T1,,5,1,blindEvian_2,,109419,0.05,,M+H,N/A,N/A,N/A,246.1852,246.1852,-.0166 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,blindEvian_3,914956,N/A,0,12.56,Processed,,Matrix Blank,N/A,T1,,6,1,blindEvian_3,,131687,0.37,,M+H,N/A,N/A,N/A,246.1852,246.185,-.6984 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,AS_blank1,860086,N/A,0,12.23,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,123338,0.04,,M+H,N/A,N/A,N/A,246.1852,246.1852,-.1405 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,AS_blank2,782483,N/A,0,12.23,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,115788,0.04,,M+H,N/A,N/A,N/A,246.1852,246.1854,.7272 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,AS_S5_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,,M+H,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,AS_S4_1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,,M+H,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
