Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Torasemid_3145_p,14.34,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,blindEvian_1,N/F,22114138,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,Cal5_1,42842217,22436941,1.909,14.34,Processed,,Unknown,4086.141,T1,,4,1,Cal5_1,,8802184,0.00,C16H20N4O3S,M+H,N/A,4086.141,N/A,349.1329,349.1328,-.2506 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,blindEvian_2,59425,19230461,0.003,14.32,Processed,,Matrix Blank,23.711,T1,,5,1,blindEvian_2,,17073,-0.02,C16H20N4O3S,M+H,N/A,23.711,N/A,349.1329,349.1329,.0990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 23.711 > blank evaluation value 0
Torasemid_3145_p,14.34,Target Compound,blindEvian_3,N/F,19800158,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,6,1,blindEvian_3,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_blank1,450025,N/F,0,14.33,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,103938,-0.01,C16H20N4O3S,M+H,N/A,N/A,N/A,349.1329,349.1332,.9731 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_blank2,410054,N/F,0,14.33,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,124444,-0.01,C16H20N4O3S,M+H,N/A,N/A,N/A,349.1329,349.1328,-.2506 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_1,N/F,54385091,N/F,N/F,Processed,,Unknown,N/F,T1,,9,1,AS_S5_1,,N/F,N/F,C16H20N4O3S,M+H,N/A,N/F,N/A,349.1329,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S4_1,N/F,65567016,N/F,N/F,Processed,,Unknown,N/F,T1,,10,1,AS_S4_1,,N/F,N/F,C16H20N4O3S,M+H,N/A,N/F,N/A,349.1329,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S3_1,36756325,64429375,0.57,14.36,Processed,,Unknown,1232.834,T1,,11,1,AS_S3_1,,7531788,0.02,C16H20N4O3S,M+H,N/A,1232.834,N/A,349.1329,349.1328,-.1632 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S2_1,37345548,53317042,0.7,14.35,Processed,,Unknown,1509.762,T1,,12,1,AS_S2_1,,7033859,0.01,C16H20N4O3S,M+H,N/A,1509.762,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S1_1,30183960,49943337,0.604,14.36,Processed,,Unknown,1305.019,T1,,13,1,AS_S1_1,,6440723,0.02,C16H20N4O3S,M+H,N/A,1305.019,N/A,349.1329,349.1324,-1.2995 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,Cal5_2,40807783,20936650,1.949,14.35,Processed,,Unknown,4170.651,T1,,14,1,Cal5_2,,8286738,0.01,C16H20N4O3S,M+H,N/A,4170.651,N/A,349.1329,349.1327,-.6003 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_2,15491890,53530794,0.289,14.34,Processed,,Unknown,633.837,T1,,15,1,AS_S5_2,,2915272,0.00,C16H20N4O3S,M+H,N/A,633.837,N/A,349.1329,349.1326,-.7751 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S4_2,18355892,64538952,0.284,14.34,Processed,,Unknown,623.212,T1,,16,1,AS_S4_2,,3347320,0.00,C16H20N4O3S,M+H,N/A,623.212,N/A,349.1329,349.1328,-.4254 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S3_2,53829296,62225090,0.865,14.34,Processed,,Unknown,1860.588,T1,,17,1,AS_S3_2,,9821611,0.00,C16H20N4O3S,M+H,N/A,1860.588,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S2_2,46855206,51825068,0.904,14.34,Processed,,Unknown,1943.759,T1,,18,1,AS_S2_2,,9209510,0.00,C16H20N4O3S,M+H,N/A,1943.759,N/A,349.1329,349.1329,.0990 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S1_2,42600697,48668636,0.875,14.34,Processed,,Unknown,1882.425,T1,,19,1,AS_S1_2,,8335194,0.00,C16H20N4O3S,M+H,N/A,1882.425,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,AS_S5_3,13752215,50876183,0.27,14.35,Processed,,Unknown,593.148,T1,,20,1,AS_S5_3,,2632334,0.01,C16H20N4O3S,M+H,N/A,593.148,N/A,349.1329,349.1328,-.3380 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
