Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Tramadol_2567_p,11.21,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C16H25NO2,N/A,N/A,N/F,N/A,264.1958,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C16H25NO2,N/A,N/A,N/F,N/A,264.1958,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,blindEvian_1,N/F,120493091,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C16H25NO2,N/A,N/A,N/F,N/A,264.1958,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,Cal5_1,48828939,118672351,0.411,11.24,Processed,,Unknown,3155.674,T1,,4,1,Cal5_1,,8017624,0.03,C16H25NO2,M+H,N/A,3155.674,N/A,264.1958,264.1956,-.6124 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,blindEvian_2,165923,106251660,0.002,11.2,Processed,,Matrix Blank,11.613,T1,,5,1,blindEvian_2,,28608,-0.01,C16H25NO2,M+H,N/A,11.613,N/A,264.1958,264.1958,.0806 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 11.613 > blank evaluation value 0
Tramadol_2567_p,11.21,Target Compound,blindEvian_3,81268,114621770,0.001,11.22,Processed,,Matrix Blank,5.073,T1,,6,1,blindEvian_3,,27605,0.01,C16H25NO2,M+H,N/A,5.073,N/A,264.1958,264.1963,1.9288 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 5.073 > blank evaluation value 0
Tramadol_2567_p,11.21,Target Compound,AS_blank1,22992152,N/F,0,11.22,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,2725543,0.01,C16H25NO2,M+H,N/A,N/A,N/A,264.1958,264.1959,.3116 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_blank2,23119912,N/F,0,11.25,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,2070133,0.04,C16H25NO2,M+H,N/A,N/A,N/A,264.1958,264.1958,.0806 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S5_1,10140765,266937844,0.038,11.22,Processed,,Unknown,291.025,T1,,9,1,AS_S5_1,,1690623,0.01,C16H25NO2,M+H,N/A,291.025,N/A,264.1958,264.1958,.0806 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,AS_S4_1,9664236,283632154,0.034,11.21,Processed,,Unknown,260.987,T1,,10,1,AS_S4_1,,1638016,0.00,C16H25NO2,M+H,N/A,260.987,N/A,264.1958,264.1958,-.0349 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
