Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Trimipramin_2861_p,15.18,Target Compound,blankNP_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,1,1,blankNP_1,,N/F,N/F,C20H26N2,N/A,N/A,N/F,N/A,295.2169,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,blankEvian_1,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,2,1,blankEvian_1,,N/F,N/F,C20H26N2,N/A,N/A,N/F,N/A,295.2169,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,blindEvian_1,N/F,29644051,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,3,1,blindEvian_1,,N/F,N/F,C20H26N2,N/A,N/A,N/F,N/A,295.2169,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,Cal5_1,58802422,28975847,2.029,15.23,Processed,,Unknown,600.223,T1,,4,1,Cal5_1,,8765847,0.05,C20H26N2,M+H,N/A,600.223,N/A,295.2169,295.2168,-.3849 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,blindEvian_2,1519437,26773569,0.057,15.21,Processed,,Matrix Blank,222.113,T1,,5,1,blindEvian_2,,177468,0.03,C20H26N2,M+H,N/A,222.113,N/A,295.2169,295.2173,1.2690 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 222.113 > blank evaluation value 0
Trimipramin_2861_p,15.18,Target Compound,blindEvian_3,554891,26515255,0.021,15.21,Processed,,Matrix Blank,215.246,T1,,6,1,blindEvian_3,,67201,0.03,C20H26N2,M+H,N/A,215.246,N/A,295.2169,295.2176,2.5095 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 215.246 > blank evaluation value 0
Trimipramin_2861_p,15.18,Target Compound,AS_blank1,1276631,N/F,0,15.22,Processed,,Solvent,N/A,T1,,7,1,AS_blank1,,164329,0.04,C20H26N2,M+H,N/A,N/A,N/A,295.2169,295.2172,1.0623 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_blank2,942437,N/F,0,15.23,Processed,,Solvent,N/A,T1,,8,1,AS_blank2,,133164,0.05,C20H26N2,M+H,N/A,N/A,N/A,295.2169,295.2173,1.5791 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S5_1,1708520,36307750,0.047,15.22,Processed,,Unknown,220.255,T1,,9,1,AS_S5_1,,257974,0.04,C20H26N2,M+H,N/A,220.255,N/A,295.2169,295.2172,1.0623 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S4_1,1823094,24178423,0.075,15.18,Processed,,Unknown,225.688,T1,,10,1,AS_S4_1,,363805,0.00,C20H26N2,M+H,N/A,225.688,N/A,295.2169,295.2173,1.5791 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S3_1,16411422,26732308,0.614,15.2,Processed,,Unknown,328.911,T1,,11,1,AS_S3_1,,2158799,0.02,C20H26N2,M+H,N/A,328.911,N/A,295.2169,295.2172,1.0623 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S2_1,15022803,31539175,0.476,15.19,Processed,,Unknown,302.536,T1,,12,1,AS_S2_1,,1986622,0.01,C20H26N2,M+H,N/A,302.536,N/A,295.2169,295.2171,.6488 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S1_1,26307933,40755894,0.646,15.18,Processed,,Unknown,334.964,T1,,13,1,AS_S1_1,,3868934,0.00,C20H26N2,M+H,N/A,334.964,N/A,295.2169,295.217,.4420 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,Cal5_2,53864638,12025947,4.479,15.17,Processed,,Unknown,1069.776,T1,,14,1,Cal5_2,,6884465,-0.01,C20H26N2,M+H,N/A,1069.776,N/A,295.2169,295.2169,.1319 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,AS_S5_2,12977252,35363875,0.367,15.16,Processed,,Unknown,281.574,T1,,15,1,AS_S5_2,,1768061,-0.02,C20H26N2,M+H,N/A,281.574,N/A,295.2169,295.217,.5454 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
